evaluations raw_y
1 -0.4952435407
5 -0.4707138825
12 -0.4609431768
39 -0.4397516913
548 -0.4300392213
550 -0.4274517190
664 -0.4224313316
894 -0.4111237006
1025 -0.4064860608
1265 -0.4035456104
1509 -0.3997924378
1600 -0.3986997426
1650 -0.3909295831
1693 -0.3904247968
1925 -0.3876395478
1974 -0.3621212555
2201 -0.3535296509
2600 -0.3482925080
2642 -0.3463950653
2953 -0.3445721862
3017 -0.3397490533
3225 -0.3386299293
3315 -0.3375861801
3435 -0.3372530173
3437 -0.3365688134
3497 -0.3316709973
3635 -0.3295549859
3986 -0.3245531414
4162 -0.3235862812
4659 -0.3228057602
4799 -0.3184059313
4841 -0.3183564591
5029 -0.3176154417
5250 -0.3173878508
5332 -0.3168288606
5342 -0.3135501769
5705 -0.3132027016
5940 -0.3125491365
6297 -0.3098385562
6368 -0.3096730826
6502 -0.3081839508
6582 -0.3079318876
6730 -0.3069308472
7176 -0.3065992732
8256 -0.3053689830
8540 -0.3045781403
15573 -0.3044603327
16527 -0.2991011370
78533 -0.2975125356
79908 -0.2973861301
80408 -0.2958860517
80490 -0.2920664943
100000 -0.2920664943
evaluations raw_y
1 -0.4891167829
7 -0.4888022071
9 -0.4774913249
13 -0.4533377680
20 -0.4522698010
169 -0.4481665176
190 -0.4438484408
381 -0.4319222069
690 -0.4291838032
715 -0.4289597880
741 -0.4221338654
882 -0.4188669356
1069 -0.4104822276
1340 -0.3946352479
1628 -0.3935639570
1651 -0.3799883516
2079 -0.3733873477
2290 -0.3710854157
2494 -0.3540522381
2866 -0.3434194170
3191 -0.3362979107
3549 -0.3360815616
3686 -0.3328924526
3730 -0.3266498843
4055 -0.3246753298
4127 -0.3234463796
4261 -0.3228385424
4538 -0.3220744856
4559 -0.3206217857
4586 -0.3154420933
4950 -0.3144494381
5523 -0.3142201883
5637 -0.3132107628
5781 -0.3115660583
5827 -0.3113481286
6210 -0.3099242888
6369 -0.3094350160
6401 -0.3086939986
6594 -0.3086856135
6616 -0.3081241147
6925 -0.3081157295
6976 -0.3073460231
7305 -0.3073376380
7995 -0.3065357259
8153 -0.3062969833
8168 -0.3061045695
8226 -0.3054166652
8337 -0.3054082801
8561 -0.3053512173
8796 -0.3027511594
8884 -0.3024044178
8909 -0.3006585282
8926 -0.3000886442
8936 -0.3000315814
18556 -0.2965538531
100000 -0.2968854272
evaluations raw_y
1 -0.4773377611
5 -0.4536476265
43 -0.4521569573
75 -0.4214108415
616 -0.4130901494
752 -0.4082097892
764 -0.4046405663
1003 -0.3993169298
1196 -0.3990843196
1205 -0.3987904467
1296 -0.3906938830
1546 -0.3858145142
1649 -0.3851907617
1735 -0.3810886061
1946 -0.3740407209
2005 -0.3704281599
2029 -0.3689211845
2163 -0.3608846257
2416 -0.3605694443
2474 -0.3550767623
2629 -0.3534340130
2689 -0.3511116921
2694 -0.3362990829
3186 -0.3211055447
3739 -0.3164284369
4064 -0.3140373216
4230 -0.3116763359
4352 -0.3064836647
4854 -0.3057722678
4899 -0.3053638682
5016 -0.3041233346
5052 -0.3034161691
5302 -0.3015559233
5347 -0.3011199181
5555 -0.3008902464
5593 -0.2995234100
5719 -0.2984508186
6569 -0.2984424335
7758 -0.2978258512
7807 -0.2976405925
7860 -0.2970240102
12624 -0.2963951205
60882 -0.2950691225
72695 -0.2935538622
100000 -0.3041339236
evaluations raw_y
1 -0.5274929372
2 -0.5090773305
4 -0.4536307675
85 -0.4511609283
133 -0.4445614100
281 -0.4387705049
422 -0.4300371130
624 -0.4231609790
865 -0.4203709251
992 -0.4077870826
1155 -0.3957143018
1240 -0.3832716937
1463 -0.3807332939
1464 -0.3797401335
1932 -0.3787456819
2022 -0.3785303327
2055 -0.3714918068
2176 -0.3707161197
2222 -0.3689028047
2255 -0.3572936084
2531 -0.3562696675
2918 -0.3558806642
2920 -0.3498776759
2977 -0.3493083789
3064 -0.3474336286
3122 -0.3469867950
3168 -0.3429929410
3360 -0.3417435074
3440 -0.3403990604
3574 -0.3388041149
3590 -0.3378080149
3648 -0.3367196500
3760 -0.3273351785
4689 -0.3273267933
4712 -0.3269304036
4856 -0.3262156049
5127 -0.3252967430
5428 -0.3235067345
5578 -0.3224206038
5614 -0.3215218876
5946 -0.3211072423
6022 -0.3211000933
6126 -0.3173483679
6569 -0.3170065388
6790 -0.3165918934
7530 -0.3131141651
7971 -0.3086002775
8268 -0.3082687034
8568 -0.3082603183
9082 -0.3082032555
9918 -0.3074251639
11019 -0.3072987585
11339 -0.3019791226
12602 -0.2995109855
12736 -0.2990308655
24230 -0.2989130580
25142 -0.2954248815
25312 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5321134544
2 -0.5270740959
3 -0.5032970023
4 -0.4661104272
20 -0.4520073148
75 -0.4516552544
88 -0.4509525303
91 -0.4451767390
236 -0.4198328899
381 -0.4091785918
801 -0.4057320763
894 -0.3988773842
1410 -0.3950276789
1421 -0.3919379771
1619 -0.3852346320
1692 -0.3825439969
2064 -0.3764066308
2199 -0.3737057061
2254 -0.3676838201
2376 -0.3665477407
2386 -0.3662574492
2503 -0.3599336272
2524 -0.3589086897
2643 -0.3549332848
2744 -0.3514150587
2840 -0.3513777028
2964 -0.3480166317
3054 -0.3357941013
3435 -0.3318134634
3438 -0.3267951330
3653 -0.3266158227
3877 -0.3263193065
3929 -0.3253196514
4101 -0.3250632802
4114 -0.3242073954
4128 -0.3166939688
4486 -0.3157242478
4585 -0.3155278540
4611 -0.3152352306
4685 -0.3138870041
4767 -0.3127735596
4837 -0.3102306041
5044 -0.3081580531
5345 -0.3046539832
5992 -0.3036529428
6481 -0.3029568920
6814 -0.3026718837
7001 -0.3023403097
7177 -0.3022990916
7242 -0.3015148221
7261 -0.3010688014
8433 -0.3008187713
8504 -0.3005886814
8588 -0.3002433138
8747 -0.2995472630
9015 -0.2990671430
9566 -0.2990587579
14279 -0.2989409503
15609 -0.2935817546
64317 -0.2920664943
100000 -0.2983545465
evaluations raw_y
1 -0.5025883554
3 -0.4771889033
4 -0.4634116072
