evaluations raw_y
1 1.0000000000
5 3.0000000000
18 5.0000000000
93 6.0000000000
108 10.0000000000
174 11.0000000000
653 12.0000000000
984 15.0000000000
1140 16.0000000000
1213 17.0000000000
1636 21.0000000000
1759 26.0000000000
2489 30.0000000000
2729 31.0000000000
3262 32.0000000000
3916 35.0000000000
4049 36.0000000000
4262 39.0000000000
4545 40.0000000000
4709 43.0000000000
5087 44.0000000000
5274 45.0000000000
5573 50.0000000000
7554 52.0000000000
7761 53.0000000000
7856 54.0000000000
8089 55.0000000000
8176 56.0000000000
8696 57.0000000000
8776 61.0000000000
9439 64.0000000000
9523 67.0000000000
9835 68.0000000000
10052 73.0000000000
11142 75.0000000000
11881 76.0000000000
12022 81.0000000000
12083 82.0000000000
13576 85.0000000000
13775 87.0000000000
13819 88.0000000000
14115 91.0000000000
15128 92.0000000000
15294 95.0000000000
15328 96.0000000000
15765 97.0000000000
15806 99.0000000000
16230 100.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
12 3.0000000000
21 4.0000000000
24 5.0000000000
59 7.0000000000
120 12.0000000000
640 13.0000000000
855 15.0000000000
1185 16.0000000000
1515 24.0000000000
1708 28.0000000000
3055 34.0000000000
4131 36.0000000000
4334 37.0000000000
4336 38.0000000000
5348 40.0000000000
6163 41.0000000000
6214 42.0000000000
6304 45.0000000000
7008 47.0000000000
7231 49.0000000000
7593 53.0000000000
7903 56.0000000000
8074 57.0000000000
8327 59.0000000000
9268 60.0000000000
9327 62.0000000000
10426 67.0000000000
10541 69.0000000000
11472 70.0000000000
11858 73.0000000000
12778 74.0000000000
12895 75.0000000000
12989 76.0000000000
13890 79.0000000000
14157 80.0000000000
15371 82.0000000000
15778 83.0000000000
16105 84.0000000000
16585 85.0000000000
17689 86.0000000000
17790 88.0000000000
18894 92.0000000000
19058 94.0000000000
22873 97.0000000000
23142 98.0000000000
24616 100.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
5 4.0000000000
37 7.0000000000
206 9.0000000000
277 10.0000000000
498 11.0000000000
643 12.0000000000
754 13.0000000000
1028 14.0000000000
1216 15.0000000000
1266 16.0000000000
1278 17.0000000000
1608 18.0000000000
1703 19.0000000000
1930 22.0000000000
