evaluations raw_y
1 -1907.0000000000
2 -1352.0000000000
7 -1215.0000000000
12 -1001.0000000000
65 -942.0000000000
76 -904.0000000000
95 -738.0000000000
146 -729.0000000000
157 -651.0000000000
189 -583.0000000000
223 -544.0000000000
251 -331.0000000000
309 -146.0000000000
439 -137.0000000000
441 -117.0000000000
468 -108.0000000000
482 -98.0000000000
576 -80.0000000000
582 -79.0000000000
613 -60.0000000000
733 -51.0000000000
734 -42.0000000000
830 -23.0000000000
982 -14.0000000000
1065 -5.0000000000
1142 4.0000000000
1171 5.0000000000
1364 6.0000000000
1420 7.0000000000
1441 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1586.0000000000
2 -1313.0000000000
5 -1283.0000000000
8 -1157.0000000000
14 -1079.0000000000
30 -991.0000000000
60 -836.0000000000
121 -719.0000000000
137 -690.0000000000
166 -592.0000000000
169 -554.0000000000
203 -514.0000000000
211 -438.0000000000
243 -417.0000000000
291 -388.0000000000
331 -359.0000000000
336 -330.0000000000
342 -311.0000000000
362 -302.0000000000
373 -292.0000000000
395 -223.0000000000
442 -215.0000000000
454 -204.0000000000
471 -176.0000000000
483 -145.0000000000
537 -107.0000000000
555 -88.0000000000
721 -68.0000000000
727 -40.0000000000
1000 -31.0000000000
1039 -21.0000000000
1062 -12.0000000000
1141 -3.0000000000
1193 -2.0000000000
1200 6.0000000000
1225 7.0000000000
1452 8.0000000000
1538 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1254.0000000000
2 -1117.0000000000
10 -1049.0000000000
34 -1001.0000000000
43 -962.0000000000
66 -952.0000000000
77 -913.0000000000
88 -796.0000000000
108 -787.0000000000
114 -748.0000000000
176 -621.0000000000
181 -612.0000000000
208 -603.0000000000
209 -602.0000000000
210 -592.0000000000
217 -485.0000000000
294 -446.0000000000
324 -417.0000000000
350 -359.0000000000
366 -310.0000000000
377 -271.0000000000
444 -223.0000000000
497 -194.0000000000
560 -166.0000000000
598 -155.0000000000
602 -127.0000000000
629 -108.0000000000
683 -79.0000000000
715 -70.0000000000
728 -61.0000000000
850 -52.0000000000
871 -51.0000000000
897 -42.0000000000
916 -33.0000000000
960 -32.0000000000
962 -14.0000000000
1002 -5.0000000000
1095 -4.0000000000
1302 -3.0000000000
1332 5.0000000000
1393 6.0000000000
1406 7.0000000000
1552 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 -1439.0000000000
2 -1420.0000000000
3 -1059.0000000000
8 -1040.0000000000
30 -952.0000000000
54 -913.0000000000
76 -903.0000000000
86 -835.0000000000
90 -767.0000000000
110 -621.0000000000
160 -417.0000000000
165 -408.0000000000
234 -350.0000000000
299 -272.0000000000
351 -253.0000000000
357 -204.0000000000
369 -186.0000000000
458 -166.0000000000
487 -156.0000000000
493 -79.0000000000
633 -70.0000000000
689 -61.0000000000
740 -60.0000000000
791 -51.0000000000
799 -41.0000000000
814 -32.0000000000
848 -13.0000000000
912 -12.0000000000
972 -4.0000000000
999 -3.0000000000
1088 -2.0000000000
1172 6.0000000000
1189 7.0000000000
1204 8.0000000000
1363 9.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1683.0000000000
2 -1556.0000000000
3 -1527.0000000000
4 -1517.0000000000
5 -1245.0000000000
28 -1235.0000000000
30 -1157.0000000000
34 -1128.0000000000
51 -1060.0000000000
77 -933.0000000000
94 -757.0000000000
160 -689.0000000000
182 -680.0000000000
207 -679.0000000000
208 -545.0000000000
254 -534.0000000000
255 -495.0000000000
263 -485.0000000000
272 -476.0000000000
279 -399.0000000000
324 -380.0000000000
351 -369.0000000000
387 -330.0000000000
411 -320.0000000000
441 -301.0000000000
453 -281.0000000000
454 -272.0000000000
457 -215.0000000000
512 -196.0000000000
531 -195.0000000000
558 -177.0000000000
595 -138.0000000000
634 -109.0000000000
689 -99.0000000000
771 -80.0000000000
773 -71.0000000000
822 -61.0000000000
825 -42.0000000000
895 -33.0000000000
980 -32.0000000000
999 -23.0000000000
1026 -14.0000000000
1053 -4.0000000000
1187 -3.0000000000
1278 5.0000000000
1279 6.0000000000
1304 7.0000000000
1334 8.0000000000
1580 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1732.0000000000
2 -1556.0000000000
3 -1536.0000000000
4 -1313.0000000000
13 -1293.0000000000
15 -1176.0000000000
43 -1049.0000000000
48 -972.0000000000
77 -952.0000000000
85 -836.0000000000
89 -825.0000000000
138 -718.0000000000
182 -543.0000000000
246 -467.0000000000
264 -456.0000000000
324 -447.0000000000
344 -407.0000000000
345 -272.0000000000
435 -242.0000000000
445 -195.0000000000
474 -185.0000000000
495 -175.0000000000
568 -167.0000000000
582 -158.0000000000
593 -119.0000000000
594 -109.0000000000
654 -100.0000000000
666 -99.0000000000
686 -60.0000000000
754 -51.0000000000
781 -41.0000000000
783 -32.0000000000
812 -24.0000000000
845 -23.0000000000
906 -12.0000000000
937 -3.0000000000
1240 -2.0000000000
1286 7.0000000000
1419 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1303.0000000000
3 -1254.0000000000
11 -1186.0000000000
30 -1021.0000000000
44 -982.0000000000
52 -933.0000000000
57 -903.0000000000
78 -748.0000000000
135 -728.0000000000
148 -680.0000000000
180 -650.0000000000
210 -641.0000000000
212 -631.0000000000
217 -602.0000000000
229 -563.0000000000
247 -543.0000000000
277 -504.0000000000
283 -495.0000000000
301 -476.0000000000
328 -456.0000000000
333 -378.0000000000
334 -349.0000000000
382 -311.0000000000
399 -291.0000000000
401 -283.0000000000
405 -224.0000000000
521 -175.0000000000
550 -146.0000000000
569 -108.0000000000
639 -79.0000000000
679 -70.0000000000
741 -50.0000000000
785 -41.0000000000
827 -40.0000000000
838 -13.0000000000
908 -3.0000000000
1041 6.0000000000
1182 7.0000000000
1319 8.0000000000
1865 9.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1264.0000000000
3 -729.0000000000
101 -690.0000000000
133 -660.0000000000
143 -622.0000000000
168 -602.0000000000
173 -553.0000000000
182 -534.0000000000
227 -505.0000000000
233 -476.0000000000
261 -466.0000000000
279 -456.0000000000
291 -388.0000000000
296 -369.0000000000
392 -350.0000000000
400 -273.0000000000
414 -254.0000000000
491 -253.0000000000
494 -244.0000000000
520 -234.0000000000
541 -195.0000000000
546 -176.0000000000
598 -157.0000000000
686 -138.0000000000
746 -80.0000000000
801 -61.0000000000
854 -42.0000000000
918 -23.0000000000
948 -14.0000000000
1069 -5.0000000000
1130 -3.0000000000
1180 5.0000000000
1188 6.0000000000
1299 7.0000000000
1321 8.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1420.0000000000
2 -1410.0000000000
4 -1400.0000000000
6 -1215.0000000000
20 -981.0000000000
35 -973.0000000000
62 -962.0000000000
99 -845.0000000000
123 -787.0000000000
145 -680.0000000000
153 -670.0000000000
198 -642.0000000000
