evaluations raw_y
1 8.6000000000
28 8.8000000000
43 9.2000000000
96 9.6000000000
131 10.2000000000
168 11.4000000000
204 11.8000000000
339 12.2000000000
371 12.4000000000
419 12.8000000000
470 13.2000000000
529 13.4000000000
609 13.6000000000
629 14.0000000000
736 14.2000000000
750 14.4000000000
824 14.6000000000
901 14.8000000000
906 15.0000000000
991 15.2000000000
1030 15.4000000000
1083 15.6000000000
1233 15.8000000000
1278 16.0000000000
1388 16.2000000000
1585 16.4000000000
1920 16.6000000000
2035 16.8000000000
100000 16.8000000000
evaluations raw_y
1 7.4000000000
2 8.4000000000
15 8.8000000000
27 9.0000000000
50 10.8000000000
140 11.0000000000
183 11.4000000000
251 12.0000000000
258 12.2000000000
341 12.4000000000
355 12.8000000000
448 13.0000000000
455 13.4000000000
527 13.6000000000
542 14.0000000000
675 14.2000000000
683 14.4000000000
702 14.6000000000
730 14.8000000000
863 15.0000000000
927 15.2000000000
993 15.6000000000
1127 15.8000000000
1197 16.0000000000
1261 16.4000000000
1368 16.6000000000
100000 16.4000000000
evaluations raw_y
1 6.4000000000
2 7.6000000000
4 7.8000000000
8 8.8000000000
22 10.4000000000
150 11.0000000000
169 11.6000000000
216 11.8000000000
223 12.0000000000
338 12.4000000000
406 12.6000000000
425 12.8000000000
462 13.2000000000
493 13.6000000000
527 13.8000000000
621 14.2000000000
734 14.4000000000
798 14.6000000000
860 14.8000000000
919 15.0000000000
959 15.2000000000
1136 15.4000000000
1216 15.6000000000
1336 15.8000000000
1360 16.0000000000
1623 16.2000000000
1989 16.4000000000
100000 16.0000000000
evaluations raw_y
1 6.8000000000
5 7.8000000000
39 9.8000000000
78 11.2000000000
141 11.6000000000
196 12.4000000000
319 12.6000000000
355 13.2000000000
360 13.4000000000
446 13.6000000000
447 13.8000000000
496 14.0000000000
570 14.2000000000
599 14.4000000000
654 14.6000000000
722 14.8000000000
800 15.0000000000
835 15.2000000000
928 15.4000000000
1006 15.6000000000
1034 15.8000000000
1162 16.0000000000
1273 16.2000000000
1288 16.4000000000
1459 16.6000000000
1487 16.8000000000
100000 16.6000000000
evaluations raw_y
1 7.2000000000
12 8.6000000000
87 9.0000000000
99 9.6000000000
140 9.8000000000
152 10.4000000000
182 12.0000000000
291 12.6000000000
378 12.8000000000
385 13.0000000000
470 13.2000000000
531 13.4000000000
575 13.6000000000
630 13.8000000000
640 14.0000000000
725 14.2000000000
799 14.4000000000
878 14.8000000000
981 15.0000000000
1118 15.2000000000
1138 15.4000000000
1235 15.6000000000
1367 15.8000000000
1449 16.0000000000
1672 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.6000000000
7 6.8000000000
8 7.2000000000
12 8.4000000000
18 8.6000000000
62 8.8000000000
66 9.8000000000
86 10.2000000000
191 10.4000000000
220 11.0000000000
264 11.4000000000
304 11.6000000000
353 12.0000000000
373 12.4000000000
418 12.6000000000
462 12.8000000000
469 13.0000000000
507 13.6000000000
548 13.8000000000
593 14.0000000000
671 14.2000000000
713 14.4000000000
782 14.8000000000
930 15.0000000000
980 15.2000000000
1027 15.6000000000
1083 15.8000000000
1141 16.0000000000
1260 16.2000000000
1397 16.4000000000
1453 16.6000000000
1740 16.8000000000
100000 16.8000000000
evaluations raw_y
1 5.4000000000
2 7.8000000000
9 8.0000000000
26 8.4000000000
28 10.0000000000
135 11.0000000000
195 12.0000000000
220 12.4000000000
276 12.8000000000
302 13.2000000000
364 13.4000000000
463 13.6000000000
494 13.8000000000
551 14.0000000000
644 14.2000000000
722 14.6000000000
845 14.8000000000
1021 15.0000000000
1063 15.2000000000
1165 15.4000000000
1219 15.6000000000
1395 15.8000000000
1512 16.0000000000
1748 16.2000000000
100000 16.2000000000
evaluations raw_y
1 6.2000000000
3 6.4000000000
5 9.8000000000
100 10.2000000000
139 10.4000000000
151 11.0000000000
222 11.6000000000
251 12.0000000000
288 12.4000000000
355 12.8000000000
403 13.0000000000
484 13.6000000000
536 13.8000000000
583 14.0000000000
592 14.2000000000
658 14.4000000000
793 14.8000000000
821 15.0000000000
922 15.2000000000
1001 15.4000000000
1067 15.6000000000
1127 15.8000000000
1234 16.0000000000
1293 16.2000000000
1458 16.4000000000
1509 16.6000000000
100000 15.6000000000
evaluations raw_y
1 5.8000000000
3 6.4000000000
4 7.4000000000
5 8.2000000000
6 8.8000000000
35 9.4000000000
58 10.0000000000
102 10.8000000000
218 11.2000000000
245 11.4000000000
261 11.8000000000
339 12.2000000000
388 12.6000000000
404 13.2000000000
472 13.4000000000
552 13.6000000000
554 13.8000000000
673 14.2000000000
754 14.4000000000
867 14.6000000000
981 14.8000000000
1079 15.0000000000
1232 15.2000000000
1309 15.4000000000
1377 15.6000000000
1510 15.8000000000
1634 16.0000000000
1668 16.2000000000
1803 16.4000000000
2103 16.6000000000
100000 15.6000000000
evaluations raw_y
1 7.8000000000
3 8.2000000000
6 9.0000000000
9 9.2000000000
50 9.4000000000
57 11.2000000000
182 11.6000000000
223 11.8000000000
247 12.2000000000
275 12.8000000000
330 13.0000000000
336 13.2000000000
379 13.6000000000
434 14.0000000000
489 14.2000000000
518 14.4000000000
573 14.8000000000
720 15.2000000000
760 15.4000000000
903 15.6000000000
1023 15.8000000000
1062 16.0000000000
1180 16.2000000000
1353 16.4000000000
100000 15.2000000000
