evaluations raw_y
1 0.9701202949
2 1.3850415512
19 1.8450184502
29 2.0210185934
34 2.2143489814
37 2.2182786158
48 2.2914757104
56 2.4582104228
84 2.4630541872
103 2.4875621891
134 2.5641025641
142 2.6343519494
185 2.7995520717
190 2.8441410694
206 2.9585798817
264 3.0376670717
284 3.0450669915
345 3.1605562579
409 3.2175032175
420 3.2594524120
482 3.3557046980
631 3.4965034965
815 3.6927621861
16818 3.9246467818
82104 4.2016806723
82116 4.2158516020
87893 4.2444821732
100000 3.6603221083
evaluations raw_y
1 0.8635578584
2 1.0883761428
5 1.2059816691
12 1.2879958784
18 1.2933264356
19 1.4005602241
25 1.4749262537
33 1.5271838729
38 1.7818959373
48 2.0177562550
71 2.1204410517
79 2.2143489814
88 2.4248302619
129 2.4875621891
252 2.6511134677
297 2.7502750275
416 3.0376670717
463 3.0599755202
500 3.0674846626
556 3.4106412005
1013 3.4578146611
1060 3.5063113604
1425 3.5161744023
2507 3.6284470247
2684 3.6390101892
2804 3.7369207773
2987 4.0387722132
100000 3.0826140567
evaluations raw_y
1 1.0570824524
2 1.3912075682
11 1.4425851125
18 1.6633399867
24 1.7768301350
25 1.8395879323
44 1.9731649566
49 1.9825535289
66 2.0712510356
105 2.1385799829
122 2.1422450728
148 2.1459227468
166 2.2502250225
168 2.4061597690
172 2.4582104228
218 2.5125628141
260 2.7502750275
271 2.8835063437
315 3.1055900621
481 3.1210986267
483 3.1766200762
744 3.3377837116
842 3.4013605442
871 3.6710719530
9591 3.7369207773
100000 2.4485798237
evaluations raw_y
1 1.3448090371
8 1.3668671405
10 1.4714537964
18 1.5234613041
29 1.5499070056
35 1.6949152542
41 1.8532246108
59 1.8587360595
62 2.0308692120
65 2.1097046414
83 2.1349274125
100 2.5075225677
115 2.5125628141
145 2.5484199796
188 2.5960539979
189 2.6178010471
259 2.7027027027
290 2.8702640643
350 2.8768699655
425 3.0012004802
436 3.0599755202
440 3.1367628607
448 3.2425421530
506 3.2851511170
591 3.3288948069
726 3.4293552812
765 3.5561877667
1144 3.6710719530
1262 3.8880248834
100000 3.0012004802
evaluations raw_y
1 0.9769441188
3 1.1494252874
6 1.3164823591
12 1.3535462913
19 1.6414970453
23 1.8102824041
30 1.8811136193
42 1.9098548510
46 2.1720243267
59 2.2542831380
73 2.2999080037
76 2.3969319271
77 2.7262813522
145 2.8571428571
197 2.9036004646
240 2.9940119760
342 3.0012004802
363 3.0599755202
381 3.2765399738
413 3.4674063800
831 3.7936267071
6471 3.8402457757
12172 3.8880248834
12506 3.9494470774
100000 3.9494470774
evaluations raw_y
1 1.2444001991
6 1.5197568389
22 1.5537600994
24 1.7018379850
26 1.8477457502
32 1.9984012790
42 2.0508613618
43 2.0815986678
56 2.3084025854
69 2.3832221163
85 2.5960539979
150 2.7870680045
222 2.8184892897
224 2.9655990510
343 3.0084235860
485 3.1055900621
568 3.1289111389
620 3.1367628607
844 3.1928480204
860 3.3025099075
891 3.4106412005
3576 3.4482758621
3667 3.4578146611
3707 3.5460992908
3983 3.7037037037
4014 3.7147102526
4126 3.8167938931
4314 3.9619651347
4330 4.0518638574
13749 4.2158516020
13783 4.2881646655
14572 4.3029259897
14722 4.4722719141
100000 4.4722719141
evaluations raw_y
1 0.7464914900
2 1.3404825737
16 1.4979029359
29 1.5556938395
37 1.5994881638
40 1.6223231668
50 1.8925056775
55 2.1682567216
79 2.1872265967
80 2.2706630336
90 2.5125628141
109 2.5484199796
193 2.5641025641
238 2.8636884307
250 3.0525030525
284 3.1210986267
302 3.1367628607
389 3.2425421530
458 3.2509752926
494 3.2594524120
591 3.3025099075
659 3.3112582781
712 3.3288948069
1056 3.5460992908
1819 3.7037037037
8368 3.7707390649
8644 3.8880248834
9149 4.0257648953
9184 4.0916530278
9252 4.1050903120
100000 4.1050903120
evaluations raw_y
1 1.1786892975
5 1.7543859649
33 1.7869907076
51 1.8422991894
58 1.8698578908
71 1.9215987702
76 2.0080321285
78 2.0374898126
100 2.0815986678
124 2.1349274125
126 2.2914757104
158 2.4015369837
208 2.4533856722
253 2.4727992087
254 2.6680896478
323 2.8376844495
432 2.9655990510
564 3.0156815440
570 3.3200531208
596 3.4387895461
844 3.4867503487
79327 3.4965034965
79347 3.7147102526
89122 3.8051750381
89450 3.8639876352
90253 3.9745627981
90277 4.1736227045
90840 4.1876046901
100000 3.4199726402
evaluations raw_y
1 1.3579576317
4 1.4679976512
22 1.5673981191
30 1.7301038062
34 1.8896447468
64 1.9638648861
73 1.9794140934
85 2.0210185934
115 2.0508613618
129 2.0815986678
252 2.1570319241
258 2.4342745862
307 2.4875621891
356 2.5746652935
358 2.6399155227
369 2.8248587571
408 2.8441410694
410 2.8768699655
431 2.9797377831
614 3.0750307503
642 3.3025099075
941 3.3467202142
947 3.4482758621
1405 3.6603221083
1500 3.6710719530
100000 2.7382256298
evaluations raw_y
1 0.8768853034
2 1.0343400910
3 1.4116318464
20 1.7717930546
30 1.9245573518
46 2.0177562550
60 2.0341741253
61 2.0441537204
63 2.1607605877
77 2.3651844844
95 2.4295432459
136 2.5025025025
172 2.6123301985
207 2.6852846402
302 2.8248587571
469 2.8702640643
547 2.9171528588
589 3.0525030525
656 3.0902348578
697 3.1133250311
875 3.1210986267
1009 3.3112582781
1413 3.6603221083
1471 3.7369207773
27170 3.7593984962
27425 3.7936267071
29998 3.9872408293
30028 4.0518638574
30102 4.0650406504
100000 4.0650406504
