evaluations raw_y
1 2161.0000000000
5 2195.0000000000
6 2327.0000000000
7 2390.0000000000
8 2514.0000000000
9 2544.0000000000
11 2625.0000000000
12 2637.0000000000
14 2673.0000000000
27 2747.0000000000
28 2755.0000000000
32 2816.0000000000
35 2842.0000000000
39 2924.0000000000
55 2959.0000000000
56 3005.0000000000
60 3092.0000000000
61 3121.0000000000
66 3126.0000000000
68 3138.0000000000
70 3217.0000000000
74 3251.0000000000
76 3282.0000000000
78 3347.0000000000
81 3366.0000000000
85 3459.0000000000
88 3553.0000000000
95 3580.0000000000
97 3608.0000000000
103 3650.0000000000
107 3713.0000000000
109 3756.0000000000
112 3845.0000000000
116 3931.0000000000
117 3966.0000000000
118 4059.0000000000
129 4128.0000000000
132 4137.0000000000
136 4169.0000000000
142 4199.0000000000
153 4267.0000000000
162 4304.0000000000
172 4330.0000000000
178 4350.0000000000
194 4357.0000000000
197 4423.0000000000
202 4493.0000000000
204 4500.0000000000
217 4548.0000000000
226 4615.0000000000
249 4616.0000000000
291 4665.0000000000
297 4715.0000000000
302 4762.0000000000
329 4783.0000000000
334 4817.0000000000
360 4833.0000000000
386 4835.0000000000
444 4874.0000000000
464 4886.0000000000
477 4928.0000000000
491 4947.0000000000
559 4993.0000000000
612 5026.0000000000
850 5050.0000000000
evaluations raw_y
1 2573.0000000000
6 2661.0000000000
17 2700.0000000000
19 2758.0000000000
24 2845.0000000000
26 2929.0000000000
29 3019.0000000000
37 3078.0000000000
39 3084.0000000000
46 3095.0000000000
50 3180.0000000000
56 3215.0000000000
61 3259.0000000000
64 3360.0000000000
71 3428.0000000000
76 3466.0000000000
78 3548.0000000000
84 3580.0000000000
93 3677.0000000000
95 3728.0000000000
99 3788.0000000000
105 3838.0000000000
108 3871.0000000000
118 3895.0000000000
132 3966.0000000000
136 3981.0000000000
137 4015.0000000000
142 4025.0000000000
143 4072.0000000000
148 4078.0000000000
164 4085.0000000000
166 4119.0000000000
187 4212.0000000000
201 4232.0000000000
204 4239.0000000000
205 4331.0000000000
207 4332.0000000000
210 4374.0000000000
221 4459.0000000000
229 4522.0000000000
269 4586.0000000000
272 4595.0000000000
278 4646.0000000000
293 4719.0000000000
306 4727.0000000000
310 4792.0000000000
330 4850.0000000000
367 4873.0000000000
436 4885.0000000000
480 4930.0000000000
495 4940.0000000000
555 5018.0000000000
846 5022.0000000000
929 5050.0000000000
evaluations raw_y
1 2533.0000000000
2 2623.0000000000
4 2674.0000000000
8 2712.0000000000
10 2808.0000000000
11 2862.0000000000
19 3005.0000000000
23 3020.0000000000
25 3076.0000000000
30 3106.0000000000
31 3216.0000000000
32 3231.0000000000
33 3366.0000000000
47 3383.0000000000
53 3474.0000000000
56 3477.0000000000
58 3581.0000000000
59 3597.0000000000
65 3602.0000000000
71 3660.0000000000
81 3664.0000000000
83 3721.0000000000
88 3758.0000000000
114 3760.0000000000
115 3846.0000000000
