evaluations raw_y
1 1.2001920307
2 1.2071463061
3 1.2569130216
13 1.4100394811
19 1.5499070056
60 1.5693659761
78 1.5772870662
208 1.7972681524
249 2.0112630732
1931 2.1570319241
1983 2.2182786158
2127 2.2341376229
2139 2.2461814915
2372 2.2624434389
2560 2.4679170780
2708 2.5693730730
2859 2.6343519494
2867 2.6399155227
3074 2.6567481403
3193 2.6624068158
3306 2.7502750275
3378 2.8184892897
3454 2.9239766082
3540 3.0084235860
3761 3.1766200762
4228 3.2258064516
4762 3.2679738562
5361 3.6284470247
50442 3.7147102526
100000 3.7147102526
evaluations raw_y
1 0.9823182711
3 1.1978917106
12 1.2787723785
18 1.3290802764
26 1.3728720483
55 1.4277555682
58 1.5365703749
94 1.5933715743
116 1.5974440895
129 1.6458196182
386 1.6789791807
579 1.8559762435
735 1.8615040953
1091 1.9516003123
1765 1.9762845850
2561 2.3696682464
3286 2.3832221163
3447 2.4485798237
3962 2.5278058645
4016 2.6178010471
4349 2.7262813522
4664 2.8184892897
4826 2.9036004646
5213 2.9585798817
5475 3.0303030303
5550 3.1133250311
5804 3.2010243278
6899 3.3288948069
7071 3.3467202142
7198 3.4106412005
8232 3.4578146611
9782 3.6075036075
10981 3.8167938931
11795 4.0257648953
100000 3.1928480204
evaluations raw_y
1 1.3304949441
7 1.3912075682
31 1.4343086632
37 1.4925373134
38 1.5832805573
146 1.6202203500
231 1.6244314490
251 1.7135023989
296 1.7397355602
493 1.9011406844
1970 2.1872265967
2407 2.6343519494
3678 2.6399155227
3977 2.8184892897
4061 2.8506271380
4148 2.9585798817
4451 3.0156815440
4530 3.1289111389
4682 3.3557046980
5597 3.5765379113
7583 3.5868005739
8263 3.6710719530
8732 3.8167938931
10959 3.9123630673
11939 3.9246467818
12674 4.0650406504
100000 4.0650406504
evaluations raw_y
1 1.0233319689
7 1.1175681717
10 1.3698630137
34 1.4326647564
37 1.7111567420
514 1.7568517217
648 1.7692852088
877 1.8450184502
1494 2.0308692120
2630 2.2341376229
2658 2.2999080037
3095 2.3212627669
3315 2.4437927664
3595 2.4826216485
3616 2.4975024975
3726 2.5329280648
3973 2.6068821689
4147 2.6910656620
4380 2.7563395810
4608 2.9797377831
