evaluations raw_y
1 -0.5108011459
2 -0.5074670294
3 -0.4759847472
7 -0.4647176954
12 -0.4637186016
96 -0.4580980493
115 -0.4499161995
261 -0.4417357901
430 -0.4284244425
682 -0.4239305209
698 -0.4226918243
896 -0.4143365872
1161 -0.4082254257
1391 -0.3963347907
1540 -0.3955826520
1762 -0.3880796889
1883 -0.3839747837
2231 -0.3737304125
2323 -0.3614705150
2446 -0.3548253396
2840 -0.3547792295
3088 -0.3546917071
3277 -0.3540891708
3329 -0.3505990765
3351 -0.3488017546
3430 -0.3473689689
3433 -0.3417752615
3475 -0.3405914969
3686 -0.3405695809
3737 -0.3400458647
3760 -0.3341277717
4090 -0.3305451620
4410 -0.3265059570
4635 -0.3220259626
4999 -0.3213096513
5257 -0.3187150939
5440 -0.3165676607
5445 -0.3163659374
5525 -0.3159747593
5705 -0.3152821962
5808 -0.3146319225
5859 -0.3139791866
6208 -0.3135699875
6274 -0.3130209949
6290 -0.3128739366
6466 -0.3125421184
6500 -0.3117827876
6645 -0.3112096573
6802 -0.3105219916
7060 -0.3105136065
7093 -0.3097809742
7181 -0.3097725891
7312 -0.3085404406
7687 -0.3082270659
7899 -0.3069144329
8056 -0.3043265478
8224 -0.3038270316
8233 -0.3020849738
8813 -0.3014683916
9800 -0.3009882716
11136 -0.3009312088
12996 -0.2997219094
13218 -0.2996648466
13257 -0.2986564096
13259 -0.2979440995
13319 -0.2974639795
13351 -0.2974069167
100000 -0.3098869966
evaluations raw_y
1 -0.5029998070
3 -0.4662923759
16 -0.4630274505
33 -0.4419414596
334 -0.4406723490
379 -0.4356511264
429 -0.4306972916
465 -0.4260719032
565 -0.4185552257
631 -0.4185115754
874 -0.4157520897
970 -0.4057880511
1198 -0.4004296620
1530 -0.3851895505
1602 -0.3835379918
1726 -0.3745510253
2179 -0.3726775373
2246 -0.3548999239
2617 -0.3471854982
2710 -0.3465852634
2891 -0.3430907101
3338 -0.3410106804
3361 -0.3404161243
3401 -0.3400810507
3413 -0.3349177014
3727 -0.3334033600
3787 -0.3255512562
4271 -0.3242983004
4504 -0.3240875825
4677 -0.3239500740
4710 -0.3231997560
4748 -0.3212078849
4799 -0.3206994093
4916 -0.3205379000
4950 -0.3187175845
5329 -0.3175853298
5586 -0.3161683981
5954 -0.3161113353
5993 -0.3108487623
6354 -0.3107916994
6805 -0.3104341169
6834 -0.3095201911
7598 -0.3091055457
7652 -0.3083645284
8709 -0.3077109633
9424 -0.3075040537
10077 -0.3018015696
13426 -0.3016837620
14003 -0.2963245663
16124 -0.2928002742
100000 -0.2928002742
evaluations raw_y
1 -0.4939187991
4 -0.4772589021
30 -0.4767815346
53 -0.4614075396
117 -0.4606410052
130 -0.4567228817
184 -0.4066878822
951 -0.4051265190
995 -0.4045713013
1162 -0.3929614895
1211 -0.3902783552
1421 -0.3891015893
1442 -0.3766941817
1489 -0.3735909657
1774 -0.3691223551
1836 -0.3680439970
1914 -0.3534278472
2386 -0.3528133332
2464 -0.3499315384
2519 -0.3453409894
2650 -0.3414795357
2942 -0.3395540631
3099 -0.3318806600
3396 -0.3299505372
3483 -0.3250466031
3943 -0.3242319222
3974 -0.3225706396
4017 -0.3202833038
4097 -0.3194207640
4207 -0.3154884480
4792 -0.3138622824
4800 -0.3137621947
4896 -0.3111764206
5212 -0.3104771735
5489 -0.3092519104
5562 -0.3084128198
5689 -0.3071614689
5989 -0.3066203800
6199 -0.3065741349
6243 -0.3053900899
6328 -0.3053817047
6546 -0.3023230877
6550 -0.3022768425
6761 -0.3010844124
8110 -0.3003883615
9212 -0.2998184776
10749 -0.2974484895
10981 -0.2974401044
11066 -0.2968702205
15609 -0.2933924922
25804 -0.2920664943
100000 -0.2920664943
evaluations raw_y
1 -0.5365694790
2 -0.5316344509
3 -0.5126123350
6 -0.4949324152
7 -0.4932328073
10 -0.4881892559
24 -0.4762496195
36 -0.4572237027
41 -0.4423932002
108 -0.4338583756
167 -0.4321405689
337 -0.4315829086
602 -0.4280102639
