evaluations raw_y
1 -1596.0000000000
2 -1410.0000000000
4 -1332.0000000000
6 -1303.0000000000
8 -1167.0000000000
14 -1146.0000000000
17 -1050.0000000000
39 -1021.0000000000
43 -845.0000000000
47 -836.0000000000
83 -827.0000000000
103 -710.0000000000
136 -651.0000000000
148 -592.0000000000
170 -564.0000000000
225 -485.0000000000
243 -476.0000000000
263 -437.0000000000
288 -399.0000000000
294 -340.0000000000
320 -302.0000000000
343 -273.0000000000
385 -255.0000000000
405 -234.0000000000
430 -223.0000000000
467 -205.0000000000
471 -195.0000000000
476 -176.0000000000
483 -138.0000000000
489 -89.0000000000
575 -88.0000000000
589 -71.0000000000
612 -61.0000000000
633 -60.0000000000
668 -50.0000000000
808 -40.0000000000
846 -31.0000000000
880 -21.0000000000
941 -12.0000000000
1131 -11.0000000000
1166 -2.0000000000
1229 -1.0000000000
1238 7.0000000000
1384 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1468.0000000000
3 -1157.0000000000
15 -1109.0000000000
25 -1098.0000000000
33 -1059.0000000000
34 -1040.0000000000
44 -903.0000000000
71 -690.0000000000
111 -662.0000000000
133 -650.0000000000
145 -631.0000000000
155 -525.0000000000
178 -524.0000000000
188 -457.0000000000
221 -388.0000000000
234 -378.0000000000
247 -349.0000000000
266 -312.0000000000
304 -272.0000000000
358 -253.0000000000
359 -224.0000000000
370 -175.0000000000
386 -147.0000000000
428 -138.0000000000
444 -119.0000000000
461 -118.0000000000
477 -89.0000000000
545 -70.0000000000
607 -61.0000000000
609 -42.0000000000
640 -32.0000000000
702 -22.0000000000
737 -13.0000000000
834 -5.0000000000
860 -4.0000000000
938 -3.0000000000
1071 -2.0000000000
1147 6.0000000000
1185 7.0000000000
1289 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1498.0000000000
2 -1254.0000000000
4 -1176.0000000000
17 -1049.0000000000
21 -865.0000000000
73 -836.0000000000
86 -709.0000000000
136 -650.0000000000
153 -641.0000000000
159 -592.0000000000
214 -583.0000000000
220 -553.0000000000
252 -544.0000000000
256 -534.0000000000
262 -524.0000000000
269 -330.0000000000
334 -281.0000000000
398 -272.0000000000
401 -233.0000000000
442 -223.0000000000
484 -175.0000000000
545 -146.0000000000
594 -127.0000000000
616 -117.0000000000
629 -98.0000000000
777 -89.0000000000
837 -88.0000000000
843 -70.0000000000
972 -61.0000000000
998 -60.0000000000
1018 -51.0000000000
1090 -42.0000000000
1098 -41.0000000000
1123 -22.0000000000
1334 -3.0000000000
1360 -2.0000000000
1739 7.0000000000
2152 8.0000000000
2532 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1264.0000000000
2 -1176.0000000000
11 -952.0000000000
43 -748.0000000000
96 -719.0000000000
100 -631.0000000000
136 -563.0000000000
158 -525.0000000000
183 -505.0000000000
202 -466.0000000000
222 -389.0000000000
254 -322.0000000000
333 -292.0000000000
337 -264.0000000000
385 -263.0000000000
413 -254.0000000000
428 -245.0000000000
434 -244.0000000000
454 -225.0000000000
458 -215.0000000000
491 -167.0000000000
504 -139.0000000000
650 -71.0000000000
709 -52.0000000000
843 -51.0000000000
847 -42.0000000000
869 -23.0000000000
911 -14.0000000000
1003 -13.0000000000
1004 -5.0000000000
1055 -4.0000000000
1159 -3.0000000000
1388 5.0000000000
1402 6.0000000000
1458 7.0000000000
1666 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1644.0000000000
2 -1517.0000000000
4 -1157.0000000000
16 -991.0000000000
50 -972.0000000000
57 -943.0000000000
59 -836.0000000000
102 -825.0000000000
116 -758.0000000000
150 -642.0000000000
176 -622.0000000000
188 -496.0000000000
246 -466.0000000000
302 -427.0000000000
314 -408.0000000000
317 -379.0000000000
333 -359.0000000000
346 -341.0000000000
376 -331.0000000000
379 -214.0000000000
442 -166.0000000000
507 -156.0000000000
540 -128.0000000000
555 -118.0000000000
593 -100.0000000000
636 -91.0000000000
666 -90.0000000000
673 -72.0000000000
699 -53.0000000000
772 -44.0000000000
788 -25.0000000000
829 -24.0000000000
939 -23.0000000000
942 -15.0000000000
1004 -6.0000000000
1023 4.0000000000
1049 5.0000000000
1223 6.0000000000
1667 7.0000000000
75274 8.0000000000
75801 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1157.0000000000
16 -1041.0000000000
39 -1001.0000000000
49 -923.0000000000
54 -875.0000000000
55 -777.0000000000
131 -709.0000000000
142 -573.0000000000
202 -543.0000000000
209 -514.0000000000
221 -456.0000000000
244 -407.0000000000
254 -398.0000000000
286 -388.0000000000
290 -360.0000000000
317 -301.0000000000
371 -253.0000000000
440 -224.0000000000
454 -185.0000000000
485 -166.0000000000
519 -156.0000000000
539 -137.0000000000
621 -127.0000000000
654 -118.0000000000
695 -99.0000000000
722 -89.0000000000
734 -80.0000000000
772 -61.0000000000
878 -51.0000000000
927 -41.0000000000
928 -32.0000000000
977 -23.0000000000
1050 -22.0000000000
1174 -13.0000000000
1222 -3.0000000000
1296 6.0000000000
1419 7.0000000000
1620 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1751.0000000000
2 -1546.0000000000
3 -1400.0000000000
5 -1147.0000000000
18 -1118.0000000000
24 -1108.0000000000
32 -1060.0000000000
36 -1049.0000000000
63 -962.0000000000
64 -885.0000000000
91 -708.0000000000
176 -699.0000000000
190 -651.0000000000
224 -631.0000000000
228 -602.0000000000
246 -593.0000000000
252 -485.0000000000
255 -427.0000000000
381 -417.0000000000
395 -398.0000000000
407 -349.0000000000
410 -311.0000000000
460 -272.0000000000
479 -262.0000000000
489 -175.0000000000
642 -166.0000000000
663 -156.0000000000
699 -147.0000000000
704 -146.0000000000
731 -118.0000000000
782 -99.0000000000
814 -71.0000000000
877 -61.0000000000
884 -60.0000000000
910 -42.0000000000
930 -41.0000000000
934 -32.0000000000
1037 -23.0000000000
1159 -22.0000000000
1202 -4.0000000000
1217 -3.0000000000
1309 5.0000000000
1360 6.0000000000
1659 7.0000000000
100000 -41.0000000000
evaluations raw_y
1 -1576.0000000000
3 -1410.0000000000
9 -1333.0000000000
12 -943.0000000000
75 -884.0000000000
101 -845.0000000000
113 -825.0000000000
123 -699.0000000000
171 -689.0000000000
190 -621.0000000000
223 -612.0000000000
229 -573.0000000000
323 -563.0000000000
329 -524.0000000000
357 -408.0000000000
401 -369.0000000000
461 -330.0000000000
515 -301.0000000000
524 -272.0000000000
549 -252.0000000000
577 -243.0000000000
643 -204.0000000000
650 -185.0000000000
670 -175.0000000000
697 -146.0000000000
706 -137.0000000000
729 -89.0000000000
751 -69.0000000000
850 -60.0000000000
867 -51.0000000000
959 -32.0000000000
989 -22.0000000000
1062 -14.0000000000
1102 -13.0000000000
1212 -12.0000000000
1309 -11.0000000000
1332 -2.0000000000
1365 6.0000000000
1404 7.0000000000
1593 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1488.0000000000
3 -1420.0000000000
4 -1371.0000000000
6 -1108.0000000000
23 -1060.0000000000
59 -962.0000000000
65 -914.0000000000
102 -826.0000000000
115 -758.0000000000
170 -719.0000000000
179 -661.0000000000
187 -583.0000000000
228 -564.0000000000
248 -525.0000000000
272 -486.0000000000
278 -457.0000000000
310 -369.0000000000
339 -359.0000000000
350 -331.0000000000
365 -281.0000000000
396 -252.0000000000
420 -213.0000000000
452 -184.0000000000
480 -156.0000000000
493 -118.0000000000
523 -117.0000000000
597 -116.0000000000
602 -88.0000000000
650 -79.0000000000
698 -60.0000000000
843 -41.0000000000
863 -32.0000000000
884 -31.0000000000
1023 -12.0000000000
1071 -3.0000000000
1398 6.0000000000
1434 7.0000000000
1524 8.0000000000
1575 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1527.0000000000
3 -1215.0000000000
8 -1108.0000000000
27 -991.0000000000
34 -884.0000000000
61 -729.0000000000
130 -680.0000000000
168 -495.0000000000
268 -475.0000000000
306 -350.0000000000
397 -340.0000000000
405 -320.0000000000
428 -291.0000000000
458 -252.0000000000
499 -243.0000000000
523 -223.0000000000
562 -214.0000000000
612 -204.0000000000
642 -195.0000000000
749 -176.0000000000
781 -166.0000000000
836 -147.0000000000
846 -137.0000000000
886 -118.0000000000
928 -89.0000000000
1059 -70.0000000000
1158 -51.0000000000
1212 -42.0000000000
1278 -41.0000000000
1290 -13.0000000000
1378 -4.0000000000
1537 5.0000000000
1669 6.0000000000
1777 7.0000000000
1902 8.0000000000
100000 8.0000000000
