evaluations raw_y
1 8.0000000000
11 8.8000000000
18 10.2000000000
40 10.4000000000
49 10.6000000000
61 10.8000000000
94 11.0000000000
144 11.2000000000
166 11.6000000000
187 11.8000000000
214 12.0000000000
219 12.2000000000
237 12.4000000000
245 12.6000000000
257 12.8000000000
260 13.0000000000
269 13.2000000000
276 13.4000000000
320 13.6000000000
326 13.8000000000
341 14.0000000000
357 14.2000000000
388 14.4000000000
395 14.6000000000
476 14.8000000000
501 15.0000000000
573 15.2000000000
591 15.4000000000
672 15.6000000000
733 15.8000000000
1027 16.0000000000
2246 16.2000000000
100000 16.2000000000
evaluations raw_y
1 6.2000000000
2 6.6000000000
3 7.8000000000
10 8.6000000000
18 9.6000000000
29 10.2000000000
37 10.4000000000
41 11.0000000000
57 11.2000000000
61 11.4000000000
68 11.6000000000
82 11.8000000000
108 12.2000000000
119 12.4000000000
156 12.6000000000
170 12.8000000000
193 13.0000000000
213 13.2000000000
221 13.4000000000
240 13.6000000000
301 13.8000000000
336 14.0000000000
359 14.2000000000
389 14.4000000000
429 14.6000000000
448 14.8000000000
452 15.0000000000
455 15.2000000000
507 15.4000000000
550 15.6000000000
569 15.8000000000
630 16.0000000000
754 16.2000000000
969 16.4000000000
1010 16.6000000000
100000 16.6000000000
evaluations raw_y
1 8.4000000000
6 10.6000000000
22 11.0000000000
45 11.4000000000
59 11.6000000000
80 11.8000000000
91 12.0000000000
95 12.2000000000
117 12.4000000000
128 12.6000000000
143 12.8000000000
182 13.0000000000
211 13.2000000000
216 13.4000000000
255 13.6000000000
265 13.8000000000
281 14.0000000000
289 14.2000000000
318 14.4000000000
360 14.6000000000
367 14.8000000000
381 15.0000000000
399 15.2000000000
462 15.4000000000
468 15.6000000000
477 15.8000000000
522 16.0000000000
586 16.2000000000
672 16.4000000000
1162 16.6000000000
100000 16.6000000000
evaluations raw_y
1 5.4000000000
2 6.0000000000
3 7.4000000000
6 8.0000000000
10 9.2000000000
22 10.0000000000
28 11.0000000000
56 11.2000000000
61 11.4000000000
71 11.6000000000
115 11.8000000000
118 12.0000000000
127 12.2000000000
147 12.4000000000
150 12.6000000000
177 12.8000000000
191 13.0000000000
203 13.2000000000
220 13.4000000000
231 13.6000000000
259 13.8000000000
279 14.0000000000
369 14.2000000000
386 14.4000000000
420 14.6000000000
493 14.8000000000
642 15.0000000000
729 15.2000000000
744 15.4000000000
805 15.6000000000
837 15.8000000000
1002 16.0000000000
1084 16.2000000000
1726 16.4000000000
100000 16.2000000000
evaluations raw_y
1 5.6000000000
2 7.4000000000
3 9.6000000000
17 10.0000000000
25 10.2000000000
46 10.4000000000
48 10.6000000000
58 10.8000000000
81 11.0000000000
89 11.2000000000
94 11.4000000000
119 11.6000000000
136 11.8000000000
150 12.0000000000
157 12.2000000000
168 12.4000000000
172 12.6000000000
189 12.8000000000
192 13.0000000000
213 13.2000000000
237 13.4000000000
261 13.6000000000
284 13.8000000000
288 14.0000000000
295 14.2000000000
367 14.4000000000
419 14.6000000000
439 14.8000000000
465 15.0000000000
483 15.2000000000
553 15.4000000000
563 15.6000000000
590 15.8000000000
684 16.0000000000
781 16.2000000000
883 16.4000000000
100000 16.0000000000
evaluations raw_y
1 4.8000000000
2 6.4000000000
4 7.0000000000
11 7.8000000000
17 8.4000000000
22 9.6000000000
27 9.8000000000
28 10.2000000000
49 10.4000000000
54 10.6000000000
57 11.0000000000
65 11.6000000000
90 11.8000000000
104 12.0000000000
112 12.2000000000
122 12.4000000000
129 12.6000000000
132 12.8000000000
140 13.0000000000
174 13.2000000000
190 13.4000000000
201 13.6000000000
217 13.8000000000
250 14.0000000000
258 14.2000000000
270 14.4000000000
291 14.6000000000
325 14.8000000000
361 15.0000000000
410 15.2000000000
478 15.4000000000
512 15.6000000000
536 15.8000000000
553 16.0000000000
610 16.2000000000
737 16.4000000000
771 16.6000000000
846 16.8000000000
1345 17.0000000000
100000 16.8000000000
evaluations raw_y
1 5.8000000000
3 7.6000000000
6 9.8000000000
39 10.0000000000
43 10.2000000000
55 10.4000000000
65 10.6000000000
68 10.8000000000
90 11.0000000000
98 11.2000000000
120 11.4000000000
149 11.6000000000
157 11.8000000000
164 12.0000000000
173 12.2000000000
196 12.4000000000
221 12.6000000000
225 12.8000000000
232 13.0000000000
257 13.2000000000
289 13.4000000000
308 13.6000000000
310 13.8000000000
324 14.0000000000
373 14.2000000000
403 14.6000000000
405 15.0000000000
463 15.2000000000
475 15.4000000000
481 15.6000000000
492 15.8000000000
544 16.0000000000
649 16.2000000000
661 16.4000000000
685 16.6000000000
100000 16.2000000000
evaluations raw_y
1 8.8000000000
9 9.6000000000
29 9.8000000000
31 10.2000000000
49 10.4000000000
75 10.6000000000
104 10.8000000000
115 11.0000000000
118 11.2000000000
127 11.4000000000
136 11.6000000000
145 11.8000000000
161 12.0000000000
167 12.2000000000
186 12.4000000000
196 12.6000000000
213 12.8000000000
234 13.0000000000
256 13.2000000000
295 13.4000000000
308 14.0000000000
370 14.2000000000
377 14.4000000000
413 14.6000000000
433 14.8000000000
449 15.0000000000
467 15.2000000000
580 15.4000000000
610 15.6000000000
625 15.8000000000
715 16.0000000000
751 16.2000000000
770 16.4000000000
930 16.6000000000
964 16.8000000000
100000 15.8000000000
evaluations raw_y
1 8.2000000000
16 8.4000000000
23 8.8000000000
29 9.2000000000
33 9.4000000000
38 9.6000000000
41 9.8000000000
49 10.0000000000
51 10.8000000000
59 11.4000000000
87 11.6000000000
109 12.0000000000
135 12.2000000000
153 12.4000000000
173 12.6000000000
189 12.8000000000
194 13.0000000000
202 13.2000000000
228 13.4000000000
232 13.6000000000
241 13.8000000000
265 14.0000000000
336 14.2000000000
357 14.4000000000
391 14.6000000000
457 14.8000000000
494 15.0000000000
512 15.2000000000
710 15.4000000000
719 15.6000000000
793 15.8000000000
801 16.0000000000
841 16.2000000000
1051 16.4000000000
1265 16.6000000000
100000 16.4000000000
evaluations raw_y
1 9.0000000000
14 10.0000000000
20 10.2000000000
39 10.4000000000
46 10.6000000000
56 10.8000000000
63 11.2000000000
81 11.4000000000
91 11.6000000000
104 11.8000000000
105 12.0000000000
122 12.2000000000
128 12.4000000000
152 12.6000000000
163 12.8000000000
190 13.0000000000
210 13.4000000000
232 13.6000000000
243 13.8000000000
298 14.0000000000
333 14.2000000000
377 14.4000000000
428 14.6000000000
437 14.8000000000
502 15.0000000000
522 15.2000000000
554 15.4000000000
608 15.6000000000
872 15.8000000000
881 16.0000000000
912 16.2000000000
956 16.4000000000
1319 16.6000000000
1418 16.8000000000
100000 16.8000000000
