evaluations raw_y
1 5.0000000000
103 6.0000000000
107 8.0000000000
150 9.0000000000
317 11.0000000000
344 14.0000000000
586 15.0000000000
629 17.0000000000
731 21.0000000000
763 22.0000000000
795 26.0000000000
867 29.0000000000
1268 30.0000000000
1980 33.0000000000
1996 34.0000000000
2049 35.0000000000
2383 36.0000000000
2428 39.0000000000
2476 40.0000000000
2622 41.0000000000
2796 42.0000000000
2874 44.0000000000
2924 45.0000000000
3107 50.0000000000
3109 53.0000000000
3252 54.0000000000
3280 55.0000000000
3392 56.0000000000
3851 57.0000000000
4076 58.0000000000
4534 59.0000000000
4767 60.0000000000
5061 63.0000000000
5303 71.0000000000
5367 73.0000000000
5448 74.0000000000
5477 75.0000000000
5978 80.0000000000
6071 82.0000000000
6141 86.0000000000
6277 90.0000000000
6589 91.0000000000
7120 93.0000000000
7499 94.0000000000
7675 95.0000000000
8797 98.0000000000
8934 99.0000000000
9038 100.0000000000
evaluations raw_y
1 2.0000000000
26 7.0000000000
522 8.0000000000
591 9.0000000000
704 10.0000000000
726 12.0000000000
1015 17.0000000000
1037 20.0000000000
1056 24.0000000000
1456 26.0000000000
1487 28.0000000000
1546 29.0000000000
1589 30.0000000000
1661 31.0000000000
2053 32.0000000000
2152 33.0000000000
2238 34.0000000000
2485 35.0000000000
2731 36.0000000000
2810 38.0000000000
2846 41.0000000000
3273 43.0000000000
3972 44.0000000000
4221 45.0000000000
4319 47.0000000000
4469 49.0000000000
4615 50.0000000000
4679 51.0000000000
5313 53.0000000000
5820 54.0000000000
6193 55.0000000000
6286 58.0000000000
6527 59.0000000000
6627 63.0000000000
6694 64.0000000000
7100 65.0000000000
7390 66.0000000000
7399 68.0000000000
7584 72.0000000000
7639 74.0000000000
8234 77.0000000000
8433 78.0000000000
8435 79.0000000000
8547 80.0000000000
8940 81.0000000000
9146 83.0000000000
9256 86.0000000000
9414 90.0000000000
9456 91.0000000000
9665 93.0000000000
9804 94.0000000000
10101 96.0000000000
10201 97.0000000000
10496 98.0000000000
10509 100.0000000000
evaluations raw_y
1 2.0000000000
10 3.0000000000
197 6.0000000000
243 7.0000000000
397 8.0000000000
793 10.0000000000
861 11.0000000000
1219 14.0000000000
1736 16.0000000000
1766 18.0000000000
1786 20.0000000000
2425 21.0000000000
2452 23.0000000000
2492 25.0000000000
2614 26.0000000000
2686 30.0000000000
2797 33.0000000000
2850 35.0000000000
2920 37.0000000000
