evaluations raw_y
1 2777.0000000000
2 2981.0000000000
12 3182.0000000000
13 3550.0000000000
22 3556.0000000000
27 3560.0000000000
29 3590.0000000000
36 3634.0000000000
38 3709.0000000000
49 3727.0000000000
51 3735.0000000000
56 3869.0000000000
65 3931.0000000000
72 3936.0000000000
73 3949.0000000000
83 3993.0000000000
98 4008.0000000000
99 4088.0000000000
106 4095.0000000000
109 4140.0000000000
123 4183.0000000000
128 4195.0000000000
134 4213.0000000000
141 4287.0000000000
142 4338.0000000000
147 4360.0000000000
153 4394.0000000000
176 4409.0000000000
178 4464.0000000000
206 4480.0000000000
212 4484.0000000000
225 4493.0000000000
234 4535.0000000000
296 4576.0000000000
305 4584.0000000000
312 4593.0000000000
326 4608.0000000000
330 4677.0000000000
381 4730.0000000000
389 4737.0000000000
401 4756.0000000000
402 4765.0000000000
407 4770.0000000000
434 4864.0000000000
479 4891.0000000000
491 4906.0000000000
554 4932.0000000000
614 4949.0000000000
620 4982.0000000000
672 4994.0000000000
674 5004.0000000000
972 5018.0000000000
1230 5050.0000000000
evaluations raw_y
1 2150.0000000000
2 2612.0000000000
4 2654.0000000000
5 2673.0000000000
6 2806.0000000000
12 2808.0000000000
22 2973.0000000000
24 3003.0000000000
27 3088.0000000000
29 3409.0000000000
42 3474.0000000000
54 3521.0000000000
59 3549.0000000000
65 3562.0000000000
75 3666.0000000000
85 3679.0000000000
86 3754.0000000000
88 3786.0000000000
107 3851.0000000000
113 3857.0000000000
115 3890.0000000000
126 3906.0000000000
130 3936.0000000000
131 3944.0000000000
142 3970.0000000000
146 4001.0000000000
152 4030.0000000000
158 4152.0000000000
185 4221.0000000000
202 4318.0000000000
226 4392.0000000000
250 4438.0000000000
256 4453.0000000000
264 4496.0000000000
308 4546.0000000000
329 4574.0000000000
342 4578.0000000000
352 4609.0000000000
385 4694.0000000000
397 4719.0000000000
440 4798.0000000000
502 4822.0000000000
511 4838.0000000000
597 4883.0000000000
605 4906.0000000000
607 4951.0000000000
646 4954.0000000000
648 4960.0000000000
701 4979.0000000000
766 5025.0000000000
849 5028.0000000000
972 5050.0000000000
evaluations raw_y
1 2853.0000000000
5 2944.0000000000
7 2978.0000000000
8 3076.0000000000
10 3186.0000000000
18 3325.0000000000
19 3367.0000000000
23 3413.0000000000
24 3554.0000000000
30 3759.0000000000
33 4014.0000000000
52 4015.0000000000
55 4042.0000000000
60 4082.0000000000
72 4105.0000000000
76 4109.0000000000
77 4139.0000000000
85 4199.0000000000
91 4224.0000000000
130 4301.0000000000
137 4314.0000000000
149 4332.0000000000
153 4359.0000000000
164 4432.0000000000
173 4436.0000000000
182 4473.0000000000
186 4475.0000000000
191 4508.0000000000
193 4545.0000000000
212 4584.0000000000
227 4596.0000000000
239 4600.0000000000
263 4639.0000000000
268 4661.0000000000
275 4667.0000000000
284 4700.0000000000
296 4728.0000000000
304 4778.0000000000
384 4789.0000000000
406 4801.0000000000
412 4813.0000000000
421 4822.0000000000
427 4830.0000000000
456 4871.0000000000
470 4924.0000000000
491 4953.0000000000
534 4957.0000000000
540 4996.0000000000
615 5017.0000000000
944 5020.0000000000
957 5031.0000000000
992 5050.0000000000
evaluations raw_y
1 2545.0000000000
4 2630.0000000000
7 2693.0000000000
9 2698.0000000000
11 2947.0000000000
18 3032.0000000000
19 3129.0000000000
21 3348.0000000000
25 3358.0000000000
28 3463.0000000000
32 3554.0000000000
36 3648.0000000000
44 3697.0000000000
46 3781.0000000000
53 3785.0000000000
64 3892.0000000000
73 3944.0000000000
80 3974.0000000000
87 4010.0000000000
100 4058.0000000000
102 4110.0000000000
108 4122.0000000000
128 4137.0000000000
137 4161.0000000000
142 4199.0000000000
171 4262.0000000000
175 4276.0000000000
204 4352.0000000000
213 4390.0000000000
230 4408.0000000000
240 4460.0000000000
248 4501.0000000000
