evaluations raw_y
1 49.0000000000
3 56.0000000000
9 57.0000000000
16 62.0000000000
42 64.0000000000
49 71.0000000000
127 73.0000000000
141 75.0000000000
204 76.0000000000
228 77.0000000000
238 79.0000000000
270 80.0000000000
313 81.0000000000
358 84.0000000000
369 87.0000000000
444 88.0000000000
454 89.0000000000
477 90.0000000000
516 91.0000000000
591 92.0000000000
607 93.0000000000
677 94.0000000000
833 95.0000000000
891 96.0000000000
929 97.0000000000
993 98.0000000000
1035 99.0000000000
1103 100.0000000000
evaluations raw_y
1 48.0000000000
5 53.0000000000
14 64.0000000000
106 65.0000000000
130 66.0000000000
144 68.0000000000
168 69.0000000000
188 71.0000000000
190 72.0000000000
222 73.0000000000
237 74.0000000000
257 76.0000000000
302 77.0000000000
314 78.0000000000
393 79.0000000000
403 83.0000000000
503 84.0000000000
519 86.0000000000
561 88.0000000000
628 89.0000000000
699 90.0000000000
736 91.0000000000
766 92.0000000000
794 93.0000000000
845 94.0000000000
867 95.0000000000
892 96.0000000000
1029 98.0000000000
1290 99.0000000000
1633 100.0000000000
evaluations raw_y
1 43.0000000000
2 46.0000000000
3 61.0000000000
52 64.0000000000
81 65.0000000000
147 72.0000000000
206 75.0000000000
233 77.0000000000
287 78.0000000000
291 80.0000000000
340 81.0000000000
392 82.0000000000
411 87.0000000000
498 88.0000000000
583 89.0000000000
649 90.0000000000
673 91.0000000000
779 92.0000000000
865 93.0000000000
887 94.0000000000
951 95.0000000000
1002 96.0000000000
1300 97.0000000000
1441 98.0000000000
1520 99.0000000000
1660 100.0000000000
evaluations raw_y
1 48.0000000000
3 65.0000000000
32 68.0000000000
110 71.0000000000
143 74.0000000000
212 77.0000000000
246 79.0000000000
281 80.0000000000
286 82.0000000000
338 83.0000000000
360 84.0000000000
367 86.0000000000
442 87.0000000000
449 88.0000000000
459 89.0000000000
548 90.0000000000
570 93.0000000000
642 94.0000000000
707 95.0000000000
785 97.0000000000
881 98.0000000000
930 99.0000000000
987 100.0000000000
evaluations raw_y
1 56.0000000000
2 57.0000000000
19 59.0000000000
23 62.0000000000
36 64.0000000000
60 65.0000000000
77 67.0000000000
152 68.0000000000
163 69.0000000000
179 71.0000000000
207 72.0000000000
211 73.0000000000
227 75.0000000000
271 77.0000000000
338 79.0000000000
360 80.0000000000
369 81.0000000000
419 82.0000000000
437 83.0000000000
443 84.0000000000
444 85.0000000000
486 86.0000000000
541 88.0000000000
595 90.0000000000
611 91.0000000000
654 93.0000000000
754 94.0000000000
789 95.0000000000
844 96.0000000000
905 97.0000000000
1013 98.0000000000
1116 99.0000000000
1253 100.0000000000
evaluations raw_y
1 51.0000000000
3 54.0000000000
5 57.0000000000
11 58.0000000000
13 60.0000000000
38 61.0000000000
54 65.0000000000
106 67.0000000000
141 69.0000000000
168 71.0000000000
179 72.0000000000
182 73.0000000000
190 77.0000000000
259 79.0000000000
282 81.0000000000
298 83.0000000000
334 86.0000000000
351 88.0000000000
409 89.0000000000
445 90.0000000000
516 92.0000000000
568 93.0000000000
605 95.0000000000
674 96.0000000000
691 98.0000000000
777 99.0000000000
1231 100.0000000000
evaluations raw_y
1 51.0000000000
4 59.0000000000
7 60.0000000000
19 61.0000000000
50 64.0000000000
78 66.0000000000
110 70.0000000000
151 72.0000000000
194 74.0000000000
256 76.0000000000
293 79.0000000000
314 80.0000000000
322 81.0000000000
365 84.0000000000
467 85.0000000000
489 87.0000000000
530 88.0000000000
551 89.0000000000
606 90.0000000000
630 93.0000000000
752 94.0000000000
814 95.0000000000
835 96.0000000000
879 97.0000000000
983 98.0000000000
1179 99.0000000000
1639 100.0000000000
evaluations raw_y
1 55.0000000000
2 59.0000000000
45 63.0000000000
50 64.0000000000
68 65.0000000000
113 68.0000000000
131 69.0000000000
179 71.0000000000
213 75.0000000000
282 77.0000000000
286 78.0000000000
305 79.0000000000
310 80.0000000000
318 81.0000000000
342 82.0000000000
362 84.0000000000
410 88.0000000000
480 90.0000000000
488 91.0000000000
543 92.0000000000
678 93.0000000000
763 94.0000000000
818 95.0000000000
969 96.0000000000
1024 97.0000000000
1054 98.0000000000
1260 99.0000000000
1622 100.0000000000
evaluations raw_y
1 49.0000000000
2 56.0000000000
4 60.0000000000
12 62.0000000000
76 63.0000000000
89 64.0000000000
112 67.0000000000
151 69.0000000000
176 70.0000000000
177 73.0000000000
226 75.0000000000
232 76.0000000000
240 77.0000000000
244 78.0000000000
283 79.0000000000
315 81.0000000000
370 83.0000000000
405 84.0000000000
435 86.0000000000
439 88.0000000000
459 90.0000000000
487 91.0000000000
588 92.0000000000
625 93.0000000000
636 94.0000000000
710 95.0000000000
746 96.0000000000
933 97.0000000000
998 98.0000000000
1297 99.0000000000
1452 100.0000000000
evaluations raw_y
1 50.0000000000
8 56.0000000000
15 57.0000000000
17 58.0000000000
29 60.0000000000
36 62.0000000000
47 64.0000000000
104 68.0000000000
158 72.0000000000
174 73.0000000000
219 76.0000000000
321 77.0000000000
332 78.0000000000
358 79.0000000000
375 80.0000000000
422 81.0000000000
424 84.0000000000
475 85.0000000000
511 87.0000000000
601 88.0000000000
675 89.0000000000
731 91.0000000000
917 92.0000000000
1015 93.0000000000
1050 94.0000000000
1092 95.0000000000
1157 96.0000000000
1223 97.0000000000
1330 98.0000000000
1420 99.0000000000
1598 100.0000000000
