evaluations raw_y
1 3153.0000000000
59 3236.0000000000
74 3264.0000000000
105 3702.0000000000
184 3763.0000000000
211 3776.0000000000
229 3837.0000000000
245 3963.0000000000
291 4144.0000000000
363 4227.0000000000
396 4290.0000000000
421 4334.0000000000
449 4441.0000000000
450 4447.0000000000
484 4506.0000000000
499 4517.0000000000
633 4523.0000000000
658 4577.0000000000
676 4626.0000000000
708 4628.0000000000
709 4630.0000000000
716 4636.0000000000
780 4637.0000000000
785 4709.0000000000
793 4715.0000000000
860 4788.0000000000
892 4792.0000000000
911 4811.0000000000
974 4831.0000000000
1002 4837.0000000000
1096 4871.0000000000
1121 4873.0000000000
1133 4874.0000000000
1149 4877.0000000000
1158 4878.0000000000
1164 4879.0000000000
1165 4907.0000000000
1172 4919.0000000000
1189 4977.0000000000
1246 4978.0000000000
1274 4995.0000000000
1320 5015.0000000000
1335 5018.0000000000
1485 5037.0000000000
1489 5039.0000000000
1653 5049.0000000000
1792 5050.0000000000
evaluations raw_y
1 2334.0000000000
2 2499.0000000000
7 2543.0000000000
9 2755.0000000000
14 2810.0000000000
22 3280.0000000000
57 3438.0000000000
147 3448.0000000000
162 3765.0000000000
241 3856.0000000000
257 3862.0000000000
290 3893.0000000000
308 3944.0000000000
325 3957.0000000000
326 4021.0000000000
354 4024.0000000000
356 4163.0000000000
410 4195.0000000000
426 4266.0000000000
458 4279.0000000000
473 4355.0000000000
556 4361.0000000000
562 4411.0000000000
596 4483.0000000000
656 4552.0000000000
683 4558.0000000000
711 4581.0000000000
734 4606.0000000000
758 4627.0000000000
787 4633.0000000000
804 4636.0000000000
831 4667.0000000000
916 4715.0000000000
962 4724.0000000000
986 4727.0000000000
1009 4762.0000000000
1058 4796.0000000000
1072 4808.0000000000
1092 4816.0000000000
1125 4828.0000000000
1172 4836.0000000000
1178 4856.0000000000
1232 4865.0000000000
1259 4868.0000000000
1269 4877.0000000000
1333 4898.0000000000
1340 4928.0000000000
1397 4971.0000000000
1541 4988.0000000000
1573 4989.0000000000
1673 4996.0000000000
1921 5017.0000000000
2133 5021.0000000000
2365 5050.0000000000
evaluations raw_y
1 2029.0000000000
2 2599.0000000000
5 2612.0000000000
8 2859.0000000000
11 2882.0000000000
22 3339.0000000000
51 3502.0000000000
72 3526.0000000000
80 3601.0000000000
82 3659.0000000000
114 3743.0000000000
133 3790.0000000000
177 3969.0000000000
225 4174.0000000000
272 4182.0000000000
285 4189.0000000000
290 4298.0000000000
362 4469.0000000000
402 4493.0000000000
442 4548.0000000000
495 4550.0000000000
514 4631.0000000000
536 4633.0000000000
538 4640.0000000000
568 4651.0000000000
603 4677.0000000000
668 4704.0000000000
728 4730.0000000000
807 4743.0000000000
834 4754.0000000000
870 4774.0000000000
875 4785.0000000000
929 4796.0000000000
979 4811.0000000000
1003 4832.0000000000
1063 4899.0000000000
1186 4908.0000000000
1242 4928.0000000000
1328 4930.0000000000
1334 4973.0000000000
1384 4975.0000000000
1436 4983.0000000000
1486 4985.0000000000
1538 4992.0000000000
1541 4994.0000000000
1621 5002.0000000000
1786 5003.0000000000
1800 5007.0000000000
1874 5008.0000000000
1956 5021.0000000000
1972 5040.0000000000
1983 5045.0000000000
1988 5046.0000000000
2148 5050.0000000000
evaluations raw_y
1 2055.0000000000
2 2587.0000000000
4 2645.0000000000
6 2988.0000000000
31 3075.0000000000
37 3282.0000000000
42 3291.0000000000
57 3359.0000000000
85 3404.0000000000
111 3478.0000000000
145 3571.0000000000
148 3791.0000000000
220 3886.0000000000
241 3940.0000000000
259 4128.0000000000
297 4137.0000000000
313 4191.0000000000
334 4197.0000000000
