evaluations raw_y
1 0.0000000000
4 1.0000000000
7 3.0000000000
10 4.0000000000
30 10.0000000000
116 17.0000000000
135 20.0000000000
286 21.0000000000
316 22.0000000000
319 26.0000000000
357 29.0000000000
503 31.0000000000
554 32.0000000000
735 33.0000000000
747 38.0000000000
1096 40.0000000000
1282 42.0000000000
1461 44.0000000000
1899 48.0000000000
2010 49.0000000000
2150 51.0000000000
2230 53.0000000000
2284 55.0000000000
2309 57.0000000000
2590 58.0000000000
2747 59.0000000000
2802 61.0000000000
2893 63.0000000000
2937 66.0000000000
3455 68.0000000000
3582 69.0000000000
4161 71.0000000000
4176 74.0000000000
4314 75.0000000000
4350 76.0000000000
4722 77.0000000000
5057 78.0000000000
5184 79.0000000000
5333 80.0000000000
5508 81.0000000000
5562 83.0000000000
6083 85.0000000000
6143 89.0000000000
6348 91.0000000000
6782 93.0000000000
6798 94.0000000000
6800 98.0000000000
6874 99.0000000000
6967 100.0000000000
100000 10.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
6 5.0000000000
8 10.0000000000
154 12.0000000000
206 15.0000000000
245 16.0000000000
395 17.0000000000
431 18.0000000000
443 21.0000000000
448 23.0000000000
535 24.0000000000
647 26.0000000000
1040 31.0000000000
1127 32.0000000000
1307 33.0000000000
1428 36.0000000000
1590 37.0000000000
1668 38.0000000000
1721 40.0000000000
1739 41.0000000000
1964 45.0000000000
2006 47.0000000000
2237 50.0000000000
2356 51.0000000000
2372 52.0000000000
2427 53.0000000000
2811 54.0000000000
3038 55.0000000000
3100 56.0000000000
3183 59.0000000000
3579 60.0000000000
3709 61.0000000000
3788 62.0000000000
3831 64.0000000000
3840 65.0000000000
3890 66.0000000000
4119 67.0000000000
4481 68.0000000000
4535 69.0000000000
4631 70.0000000000
4801 74.0000000000
5591 76.0000000000
5657 82.0000000000
5819 84.0000000000
5973 86.0000000000
6140 90.0000000000
6559 91.0000000000
6691 92.0000000000
7238 93.0000000000
7579 96.0000000000
7592 97.0000000000
7866 99.0000000000
8377 100.0000000000
100000 31.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
8 4.0000000000
9 5.0000000000
31 6.0000000000
41 16.0000000000
149 20.0000000000
308 21.0000000000
347 22.0000000000
385 25.0000000000
971 26.0000000000
984 27.0000000000
1037 29.0000000000
1198 30.0000000000
1593 31.0000000000
1608 33.0000000000
1657 35.0000000000
1905 36.0000000000
2096 37.0000000000
2151 39.0000000000
2260 45.0000000000
2509 48.0000000000
2538 49.0000000000
2666 51.0000000000
2795 53.0000000000
3246 54.0000000000
3280 58.0000000000
3495 61.0000000000
3762 63.0000000000
4185 67.0000000000
4489 68.0000000000
4604 69.0000000000
4605 70.0000000000
4803 71.0000000000
4845 73.0000000000
5083 75.0000000000
5431 76.0000000000
6293 78.0000000000
7166 79.0000000000
7584 81.0000000000
7609 83.0000000000
7807 85.0000000000
8099 86.0000000000
8397 88.0000000000
8628 89.0000000000
9024 90.0000000000
9087 92.0000000000
9136 95.0000000000
9540 96.0000000000
9569 100.0000000000
100000 61.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
7 4.0000000000
25 6.0000000000
106 8.0000000000
112 9.0000000000
158 10.0000000000
166 11.0000000000
192 13.0000000000
205 14.0000000000
233 15.0000000000
436 16.0000000000
538 18.0000000000
999 19.0000000000
1030 20.0000000000
1055 24.0000000000
1090 25.0000000000
1168 26.0000000000
1202 30.0000000000
1278 31.0000000000
1365 34.0000000000
1582 35.0000000000
1856 42.0000000000
2027 46.0000000000
2179 47.0000000000
2280 48.0000000000
2325 51.0000000000
2409 53.0000000000
2820 54.0000000000
3090 55.0000000000
3143 58.0000000000
3202 59.0000000000
3350 61.0000000000
3604 62.0000000000
4140 64.0000000000
4210 65.0000000000
4470 66.0000000000
4609 68.0000000000
4679 69.0000000000
4837 71.0000000000
4910 72.0000000000
4980 73.0000000000
5311 75.0000000000
5325 76.0000000000
5548 77.0000000000
5856 79.0000000000
6276 81.0000000000
6423 84.0000000000
6785 87.0000000000
7548 88.0000000000
7569 89.0000000000
7922 91.0000000000
8365 95.0000000000
8414 96.0000000000
8536 100.0000000000
100000 28.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
13 3.0000000000
21 4.0000000000
35 5.0000000000
38 7.0000000000
58 8.0000000000
74 10.0000000000
142 13.0000000000
185 14.0000000000
203 16.0000000000
231 18.0000000000
302 21.0000000000
333 22.0000000000
383 23.0000000000
699 24.0000000000
713 25.0000000000
726 29.0000000000
1002 30.0000000000
1107 31.0000000000
1111 32.0000000000
1223 33.0000000000
1763 35.0000000000
1797 36.0000000000
1838 37.0000000000
2058 40.0000000000
2622 41.0000000000
2801 42.0000000000
2887 44.0000000000
2893 45.0000000000
3326 46.0000000000
3373 48.0000000000
3537 49.0000000000
3687 51.0000000000
3767 52.0000000000
3908 53.0000000000
4076 58.0000000000
4238 61.0000000000
4270 62.0000000000
4370 64.0000000000
4826 65.0000000000
5109 67.0000000000
5265 72.0000000000
5379 73.0000000000
6348 77.0000000000
6408 80.0000000000
6654 81.0000000000
7219 82.0000000000
7886 89.0000000000
8218 90.0000000000
8492 91.0000000000
8659 93.0000000000
8836 94.0000000000
9266 95.0000000000
9925 96.0000000000
10599 97.0000000000
10623 99.0000000000
10634 100.0000000000
100000 94.0000000000
evaluations raw_y
1 2.0000000000
6 4.0000000000
16 5.0000000000
24 7.0000000000
52 8.0000000000
97 10.0000000000
143 11.0000000000
154 18.0000000000
227 23.0000000000
473 24.0000000000
490 29.0000000000
568 30.0000000000
778 32.0000000000
982 34.0000000000
1000 35.0000000000
1161 36.0000000000
1196 38.0000000000
1443 39.0000000000
1547 40.0000000000
1597 41.0000000000
1606 42.0000000000
1607 43.0000000000
1618 44.0000000000
1746 46.0000000000
1839 48.0000000000
1893 49.0000000000
2224 50.0000000000
2513 56.0000000000
2703 57.0000000000
2934 60.0000000000
2994 61.0000000000
3026 66.0000000000
3133 67.0000000000
3155 68.0000000000
3594 70.0000000000
3855 72.0000000000
4157 74.0000000000
4492 75.0000000000
4615 78.0000000000
4762 79.0000000000
4788 80.0000000000
5088 81.0000000000
5100 83.0000000000
5229 84.0000000000
5260 87.0000000000
5525 90.0000000000
6082 91.0000000000
6106 92.0000000000
6451 93.0000000000
6730 94.0000000000
6785 97.0000000000
7086 99.0000000000
7220 100.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 4.0000000000
8 5.0000000000
56 9.0000000000
118 10.0000000000
167 13.0000000000
205 14.0000000000
232 19.0000000000
271 22.0000000000
347 23.0000000000
350 26.0000000000
420 27.0000000000
634 28.0000000000
670 31.0000000000
675 32.0000000000
683 33.0000000000
787 35.0000000000
808 37.0000000000
1083 38.0000000000
1471 40.0000000000
1590 42.0000000000
1647 43.0000000000
1725 45.0000000000
2422 51.0000000000
2565 52.0000000000
2841 54.0000000000
2905 56.0000000000
2940 60.0000000000
3012 61.0000000000
3197 62.0000000000
3289 63.0000000000
3460 64.0000000000
3537 66.0000000000
4291 67.0000000000
4593 69.0000000000
4802 70.0000000000
4921 74.0000000000
4950 75.0000000000
5010 78.0000000000
5162 80.0000000000
5224 81.0000000000
5724 82.0000000000
5744 86.0000000000
6012 87.0000000000
6099 88.0000000000
6607 91.0000000000
6894 96.0000000000
7086 97.0000000000
7335 99.0000000000
7430 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
23 3.0000000000
50 7.0000000000
122 8.0000000000
211 9.0000000000
246 13.0000000000
302 14.0000000000
406 15.0000000000
432 20.0000000000
463 23.0000000000
508 25.0000000000
548 26.0000000000
632 27.0000000000
718 28.0000000000
920 29.0000000000
1084 30.0000000000
1668 32.0000000000
1788 33.0000000000
1833 35.0000000000
2055 38.0000000000
2397 39.0000000000
2531 40.0000000000
2536 41.0000000000
2596 42.0000000000
2835 44.0000000000
2852 45.0000000000
2968 49.0000000000
3034 50.0000000000
3266 54.0000000000
3376 55.0000000000
3706 57.0000000000
3736 59.0000000000
3839 60.0000000000
3904 63.0000000000
4474 66.0000000000
4483 70.0000000000
4674 72.0000000000
4760 73.0000000000
4797 74.0000000000
5024 75.0000000000
5243 77.0000000000
5435 79.0000000000
5613 84.0000000000
6105 87.0000000000
7033 91.0000000000
7042 92.0000000000
7096 94.0000000000
7718 98.0000000000
7989 99.0000000000
8039 100.0000000000
100000 2.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
16 3.0000000000
20 6.0000000000
30 7.0000000000
84 12.0000000000
189 14.0000000000
276 18.0000000000
370 19.0000000000
405 27.0000000000
708 28.0000000000
819 33.0000000000
935 35.0000000000
989 37.0000000000
1158 38.0000000000
1296 39.0000000000
1385 40.0000000000
1418 43.0000000000
1533 45.0000000000
1573 49.0000000000
1656 51.0000000000
1964 54.0000000000
2021 56.0000000000
2051 57.0000000000
2467 59.0000000000
2816 61.0000000000
3296 68.0000000000
3314 71.0000000000
3336 73.0000000000
3372 74.0000000000
3431 75.0000000000
3534 77.0000000000
3585 81.0000000000
3692 84.0000000000
4151 85.0000000000
4707 88.0000000000
4714 93.0000000000
4943 94.0000000000
5431 96.0000000000
5746 99.0000000000
5889 100.0000000000
100000 42.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 4.0000000000
12 6.0000000000
39 7.0000000000
67 9.0000000000
387 13.0000000000
432 14.0000000000
592 15.0000000000
657 18.0000000000
806 22.0000000000
872 24.0000000000
1073 30.0000000000
1304 33.0000000000
1677 36.0000000000
1716 37.0000000000
1901 38.0000000000
2043 40.0000000000
2321 41.0000000000
2476 43.0000000000
2709 44.0000000000
2783 45.0000000000
2799 46.0000000000
2838 48.0000000000
2909 49.0000000000
3773 50.0000000000
3899 52.0000000000
3989 56.0000000000
4210 57.0000000000
4329 59.0000000000
4496 61.0000000000
4918 62.0000000000
5015 63.0000000000
5392 65.0000000000
5410 68.0000000000
5476 70.0000000000
5750 71.0000000000
5770 72.0000000000
6237 75.0000000000
6650 76.0000000000
6661 77.0000000000
6684 81.0000000000
7063 82.0000000000
7334 85.0000000000
7780 86.0000000000
8003 87.0000000000
9098 89.0000000000
9147 90.0000000000
9307 96.0000000000
9804 100.0000000000
100000 100.0000000000
