evaluations raw_y
1 0.6441638753
2 1.2556504269
8 1.3535462913
25 1.3989927252
27 1.4409221902
31 1.5752993069
45 1.7593244194
54 1.7818959373
77 1.9364833462
102 1.9762845850
107 2.2065313327
158 2.2831050228
186 2.3041474654
190 2.3786869648
193 2.4248302619
272 2.5075225677
278 2.5329280648
311 2.5484199796
320 2.5853154085
356 2.7144408252
387 2.7563395810
435 2.8901734104
505 2.9377203290
520 2.9585798817
559 3.1133250311
701 3.2509752926
837 3.2594524120
857 3.3738191633
943 3.4965034965
1211 3.6927621861
1260 3.9123630673
1302 4.1322314050
1454 4.1736227045
100000 2.9308323564
evaluations raw_y
1 1.0706638116
6 1.4979029359
7 1.6286644951
16 1.7229496899
34 1.8422991894
66 2.1682567216
90 2.1872265967
101 2.2143489814
107 2.3342670401
167 2.3741690408
169 2.4975024975
185 2.8441410694
206 2.9868578256
231 3.0525030525
464 3.2010243278
561 3.3112582781
30744 3.7037037037
100000 3.7037037037
evaluations raw_y
1 1.1307100859
8 1.1887779363
10 1.4854426619
26 1.5852885225
28 1.6244314490
32 1.8341892883
43 1.8615040953
44 1.9546520719
50 1.9984012790
61 2.1026072330
63 2.3741690408
73 2.3969319271
75 2.4201355276
78 2.5484199796
125 2.6511134677
169 2.7502750275
189 3.0826140567
228 3.1055900621
321 3.1928480204
390 3.2010243278
698 3.4013605442
908 3.5561877667
918 3.6284470247
1351 3.7257824143
1364 3.7369207773
5000 3.8051750381
100000 2.7322404372
evaluations raw_y
1 1.2493753123
5 1.2906556531
14 1.5422578655
26 1.5733165513
36 1.6501650165
40 1.7182130584
44 1.8181818182
50 1.8234865062
66 1.8726591760
101 1.9394879752
120 1.9700551615
134 2.0308692120
159 2.0920502092
186 2.1026072330
203 2.2421524664
243 2.3832221163
361 2.5227043391
454 2.5536261491
466 2.6795284030
488 2.7085590466
604 2.8248587571
617 2.9655990510
666 3.0012004802
703 3.0084235860
726 3.1367628607
739 3.2594524120
775 3.2938076416
789 3.3377837116
843 3.5360678925
917 3.7147102526
1090 3.8402457757
1118 4.0000000000
1143 4.0128410915
1330 4.0257648953
2525 4.0783034258
6807 4.2158516020
100000 4.2158516020
evaluations raw_y
1 0.9437523594
2 0.9626492106
3 1.1967448540
11 1.3609145346
12 1.6056518947
20 1.8477457502
37 2.2502250225
46 2.3741690408
61 2.4342745862
84 2.4437927664
91 2.4975024975
94 2.5075225677
131 2.6232948583
134 2.6852846402
210 2.7262813522
232 2.8184892897
361 2.9726516052
465 3.0826140567
517 3.2509752926
598 3.2765399738
782 3.3921302578
1081 3.4578146611
1768 3.5063113604
100000 3.5063113604
evaluations raw_y
1 0.8269930533
2 1.0817827780
3 1.2468827930
8 1.4784151390
18 1.5422578655
20 1.6286644951
26 1.6350555919
34 1.7253278123
44 1.7667844523
52 2.2831050228
63 2.3696682464
87 2.5693730730
193 2.6852846402
277 2.8376844495
310 2.9797377831
329 3.1210986267
334 3.3025099075
409 3.3288948069
541 3.3557046980
602 3.4199726402
746 3.7593984962
986 3.7707390649
1801 3.8880248834
2043 4.0518638574
5354 4.1050903120
5461 4.3177892919
100000 4.3177892919
evaluations raw_y
1 0.8347245409
2 1.1978917106
7 1.3123359580
9 1.4196479273
11 1.5556938395
17 1.6789791807
23 2.0850708924
34 2.3923444976
39 2.4108003857
52 2.4201355276
55 2.4295432459
62 2.5853154085
106 2.7027027027
119 2.7808676307
182 3.0012004802
261 3.0084235860
273 3.0229746070
469 3.1605562579
560 3.3738191633
566 3.3829499323
580 3.4293552812
798 3.4387895461
1290 3.4965034965
1447 3.7037037037
1550 3.7593984962
1606 4.2301184433
1826 4.2735042735
12039 4.3936731107
45404 4.4883303411
60761 4.5537340619
100000 4.5537340619
evaluations raw_y
1 1.2071463061
2 1.2419274714
5 1.2919896641
11 1.3743815283
20 1.4052838673
21 1.4836795252
28 1.6835016835
39 1.8504811251
80 1.9669551534
83 1.9762845850
129 2.1204410517
150 2.1758050479
157 2.2583559169
177 2.2914757104
181 2.5906735751
236 2.6968716289
285 2.7382256298
303 2.7563395810
318 2.7746947836
385 2.9655990510
470 3.0450669915
17209 3.0750307503
17263 3.1766200762
17426 3.1847133758
17521 3.2765399738
17561 3.3921302578
17640 3.4770514604
25737 3.5161744023
26347 3.5868005739
26408 3.5971223022
32881 3.6390101892
100000 2.0542317173
evaluations raw_y
1 1.1266336187
3 1.1990407674
5 1.2048192771
12 1.3419216318
23 1.3743815283
24 1.4819205691
31 1.4961101137
36 1.5654351910
40 1.5772870662
42 1.5994881638
43 1.7018379850
44 1.8368846436
47 1.9669551534
62 2.0475020475
82 2.1496130696
99 2.1987686895
109 2.2542831380
112 2.2747952684
140 2.2956841139
153 2.3877745941
238 2.4582104228
240 2.5906735751
281 2.6178010471
333 2.6455026455
350 2.7870680045
355 2.8058361392
370 2.9868578256
415 3.1928480204
503 3.2341526520
544 3.3467202142
579 3.3557046980
695 3.4578146611
891 3.5063113604
1065 3.5161744023
33912 3.5765379113
51545 3.6390101892
100000 3.0156815440
evaluations raw_y
1 0.7248477820
2 1.1096316023
9 1.3683634373
13 1.3881177124
20 1.8615040953
36 2.0475020475
70 2.1132713440
88 2.3212627669
107 2.4437927664
139 2.8376844495
188 2.9515938607
193 2.9868578256
228 3.0826140567
528 3.1685678074
716 3.3112582781
901 3.4106412005
949 3.5360678925
1107 3.8051750381
1583 4.1597337770
100000 2.3212627669
