evaluations raw_y
1 -1556.0000000000
3 -1060.0000000000
20 -1031.0000000000
24 -1021.0000000000
25 -943.0000000000
26 -894.0000000000
36 -855.0000000000
37 -826.0000000000
42 -797.0000000000
47 -748.0000000000
56 -709.0000000000
63 -680.0000000000
68 -670.0000000000
71 -602.0000000000
80 -534.0000000000
95 -515.0000000000
110 -495.0000000000
116 -476.0000000000
117 -466.0000000000
123 -408.0000000000
132 -379.0000000000
134 -350.0000000000
139 -320.0000000000
148 -253.0000000000
151 -176.0000000000
181 -138.0000000000
238 -110.0000000000
240 -99.0000000000
244 -80.0000000000
255 -71.0000000000
263 -70.0000000000
269 -52.0000000000
297 -43.0000000000
311 -42.0000000000
334 -41.0000000000
366 -12.0000000000
530 -11.0000000000
589 8.0000000000
1000 9.0000000000
100000 -59.0000000000
evaluations raw_y
1 -1108.0000000000
5 -1089.0000000000
12 -1069.0000000000
13 -962.0000000000
19 -836.0000000000
23 -768.0000000000
24 -544.0000000000
43 -515.0000000000
74 -486.0000000000
76 -476.0000000000
81 -447.0000000000
101 -408.0000000000
105 -379.0000000000
113 -350.0000000000
116 -321.0000000000
132 -311.0000000000
142 -253.0000000000
166 -243.0000000000
169 -234.0000000000
171 -224.0000000000
175 -205.0000000000
199 -176.0000000000
208 -157.0000000000
224 -147.0000000000
237 -128.0000000000
267 -80.0000000000
285 -61.0000000000
308 -60.0000000000
330 -41.0000000000
338 -23.0000000000
388 -14.0000000000
395 -4.0000000000
563 -3.0000000000
606 6.0000000000
730 7.0000000000
1030 8.0000000000
4204 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1615.0000000000
2 -1264.0000000000
4 -1244.0000000000
5 -875.0000000000
19 -865.0000000000
20 -836.0000000000
34 -729.0000000000
55 -719.0000000000
67 -690.0000000000
74 -641.0000000000
75 -612.0000000000
94 -544.0000000000
111 -505.0000000000
120 -495.0000000000
126 -486.0000000000
133 -466.0000000000
134 -437.0000000000
148 -408.0000000000
172 -379.0000000000
180 -350.0000000000
182 -331.0000000000
195 -312.0000000000
211 -302.0000000000
220 -283.0000000000
226 -282.0000000000
242 -263.0000000000
247 -195.0000000000
275 -156.0000000000
284 -127.0000000000
297 -98.0000000000
324 -69.0000000000
365 -59.0000000000
370 -50.0000000000
378 -31.0000000000
417 -22.0000000000
504 -3.0000000000
515 -2.0000000000
551 -1.0000000000
622 8.0000000000
24613 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1488.0000000000
3 -1439.0000000000
5 -1333.0000000000
6 -1293.0000000000
7 -1088.0000000000
8 -1040.0000000000
18 -884.0000000000
22 -874.0000000000
24 -786.0000000000
35 -757.0000000000
42 -738.0000000000
45 -728.0000000000
48 -718.0000000000
55 -689.0000000000
62 -650.0000000000
77 -572.0000000000
93 -533.0000000000
103 -504.0000000000
111 -465.0000000000
124 -455.0000000000
141 -436.0000000000
142 -426.0000000000
150 -407.0000000000
157 -388.0000000000
163 -359.0000000000
202 -320.0000000000
229 -301.0000000000
274 -272.0000000000
293 -243.0000000000
302 -214.0000000000
304 -185.0000000000
328 -165.0000000000
338 -155.0000000000
352 -127.0000000000
390 -108.0000000000
398 -89.0000000000
445 -80.0000000000
450 -71.0000000000
454 -61.0000000000
470 -52.0000000000
494 -43.0000000000
498 -23.0000000000
508 -13.0000000000
533 -4.0000000000
543 5.0000000000
594 6.0000000000
609 7.0000000000
655 8.0000000000
12544 9.0000000000
78818 10.0000000000
evaluations raw_y
1 -1751.0000000000
2 -1400.0000000000
5 -1371.0000000000
8 -1108.0000000000
21 -973.0000000000
29 -953.0000000000
35 -914.0000000000
38 -905.0000000000
42 -856.0000000000
57 -836.0000000000
64 -797.0000000000
76 -739.0000000000
81 -729.0000000000
88 -719.0000000000
89 -690.0000000000
97 -671.0000000000
109 -651.0000000000
115 -622.0000000000
117 -535.0000000000
138 -496.0000000000
159 -486.0000000000
161 -428.0000000000
179 -418.0000000000
180 -389.0000000000
189 -379.0000000000
197 -350.0000000000
203 -321.0000000000
208 -292.0000000000
217 -253.0000000000
226 -224.0000000000
246 -185.0000000000
281 -166.0000000000
319 -147.0000000000
363 -138.0000000000
395 -119.0000000000
422 -100.0000000000
429 -91.0000000000
456 -72.0000000000
477 -71.0000000000
478 -53.0000000000
482 -44.0000000000
510 -25.0000000000
528 -6.0000000000
547 3.0000000000
555 4.0000000000
584 5.0000000000
612 6.0000000000
755 7.0000000000
768 8.0000000000
95397 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1118.0000000000
4 -1079.0000000000
9 -942.0000000000
17 -933.0000000000
20 -894.0000000000
22 -767.0000000000
33 -738.0000000000
39 -728.0000000000
41 -689.0000000000
43 -650.0000000000
48 -582.0000000000
61 -494.0000000000
68 -465.0000000000
74 -426.0000000000
86 -397.0000000000
99 -368.0000000000
101 -349.0000000000
138 -330.0000000000
139 -291.0000000000
162 -281.0000000000
171 -223.0000000000
179 -194.0000000000
180 -184.0000000000
184 -165.0000000000
185 -155.0000000000
193 -136.0000000000
200 -117.0000000000
209 -98.0000000000
247 -89.0000000000
263 -80.0000000000
304 -61.0000000000
309 -32.0000000000
