evaluations raw_y
1 -0.5380030763
2 -0.5355769730
3 -0.5091462442
4 -0.5068660097
8 -0.5055911129
9 -0.5055195290
10 -0.4850838179
17 -0.4774408558
19 -0.4690087967
27 -0.4599161613
34 -0.4557689139
35 -0.4467700866
42 -0.4363773802
52 -0.4347413784
53 -0.4313400406
57 -0.4305107584
66 -0.4291428117
67 -0.4261191739
72 -0.4212210582
74 -0.4199369203
77 -0.4118389479
90 -0.4061843612
103 -0.4013728297
114 -0.3956703455
130 -0.3933625951
131 -0.3876739126
167 -0.3874246056
171 -0.3869537783
176 -0.3831907513
190 -0.3824706170
194 -0.3823313638
199 -0.3799155437
208 -0.3768285499
218 -0.3760875325
225 -0.3750239282
233 -0.3713999810
235 -0.3700118152
237 -0.3662903516
253 -0.3581909204
270 -0.3574499031
291 -0.3562574729
299 -0.3552484611
312 -0.3549353008
325 -0.3463002012
357 -0.3430635380
364 -0.3409410055
386 -0.3386332550
409 -0.3378049434
428 -0.3355998290
440 -0.3314624588
506 -0.3285033589
520 -0.3267053261
546 -0.3259034851
560 -0.3183825114
585 -0.3179023914
624 -0.3161310124
695 -0.3153529208
710 -0.3137669250
713 -0.3129888335
762 -0.3120901173
773 -0.3117585433
783 -0.3053817048
805 -0.3053733196
993 -0.3046323023
1027 -0.3041242329
1050 -0.3023528539
1055 -0.3017362716
1547 -0.3016098661
1649 -0.2966218043
1655 -0.2962902303
25520 -0.2956613405
64073 -0.2941460802
68328 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5518434479
2 -0.5160763566
3 -0.4942588464
5 -0.4874473999
9 -0.4768540324
15 -0.4720752326
17 -0.4688355758
24 -0.4508882416
34 -0.4341889763
40 -0.4290872633
43 -0.4282522150
54 -0.4227904427
56 -0.4199502190
63 -0.4113948965
76 -0.4078785358
82 -0.4051188074
85 -0.3965233956
90 -0.3952380479
91 -0.3942228166
100 -0.3921490442
102 -0.3892850443
104 -0.3847425578
106 -0.3793719115
113 -0.3765108311
125 -0.3763867944
126 -0.3747914151
131 -0.3746646784
