evaluations raw_y
1 1.2607160867
2 1.3774104683
5 1.5253203173
86 1.5832805573
107 1.6223231668
197 1.6926201760
217 1.7494751575
269 1.8129079043
312 1.8155410312
326 1.8422991894
332 1.9069412662
353 1.9215987702
369 1.9920318725
395 2.0242914980
408 2.4154589372
499 2.4975024975
549 2.7382256298
562 2.7502750275
567 2.8506271380
605 3.0599755202
705 3.1847133758
728 3.2010243278
792 3.3112582781
1006 3.3829499323
1219 3.6710719530
1351 3.7481259370
1546 3.8051750381
1820 3.8880248834
1863 3.9370078740
2116 4.2735042735
100000 3.4578146611
evaluations raw_y
1 1.0660980810
6 1.1116051578
10 1.2165450122
11 1.5537600994
40 1.8642803878
230 2.0374898126
304 2.0990764064
314 2.1795989538
400 2.3386342376
428 2.3562676720
498 2.3969319271
526 2.5432349949
570 2.5906735751
584 2.6014568158
609 2.6178010471
729 2.6511134677
740 2.7144408252
762 2.7870680045
854 2.8441410694
884 2.8901734104
1019 3.0826140567
10010 3.1289111389
10180 3.1685678074
10205 3.2851511170
17578 3.6075036075
18258 3.7707390649
100000 3.7707390649
evaluations raw_y
1 0.9807767752
3 1.0688328345
4 1.3850415512
9 1.5733165513
138 1.6995241332
180 1.7946877243
183 1.9857029388
329 1.9952114924
358 2.1061499579
447 2.2461814915
512 2.3084025854
533 2.4342745862
579 2.4485798237
591 2.5176233635
612 2.5746652935
672 2.6123301985
750 2.6624068158
757 2.7322404372
825 2.7685492802
898 2.7870680045
912 2.8835063437
984 2.9446407538
1156 3.0525030525
1584 3.1210986267
1631 3.1928480204
1709 3.2851511170
1830 3.4965034965
1919 3.6927621861
1947 3.7257824143
2009 3.7821482602
2095 3.8167938931
2165 3.9001560062
100000 3.9001560062
evaluations raw_y
1 1.5160703457
12 1.6265452180
59 1.8050541516
217 2.2341376229
313 2.2747952684
372 2.2872827081
373 2.4826216485
402 2.6068821689
455 2.7746947836
476 2.8571428571
751 2.8901734104
774 3.0303030303
802 3.1055900621
873 3.1446540881
1375 3.1685678074
1450 3.2594524120
1646 3.2679738562
1667 3.4106412005
3611 3.4867503487
3923 3.9619651347
3994 4.0783034258
24087 4.1050903120
100000 4.1050903120
evaluations raw_y
1 1.3927576602
8 1.4425851125
21 1.4836795252
69 1.5913430936
71 1.5994881638
90 1.6393442623
118 1.8422991894
211 1.9516003123
347 1.9984012790
360 2.0374898126
408 2.0955574183
414 2.1240441801
485 2.2026431718
517 2.3041474654
554 2.3474178404
594 2.4154589372
665 2.5693730730
730 2.6455026455
749 2.8835063437
844 3.0012004802
937 3.0084235860
992 3.0450669915
998 3.2258064516
1018 3.4578146611
1414 3.7369207773
100000 2.9377203290
evaluations raw_y
1 0.9678668215
2 1.0789814415
3 1.2094823416
6 1.4180374362
18 1.6436554898
114 1.7519271198
145 1.9516003123
246 2.1312872975
359 2.1607605877
425 2.2421524664
448 2.2999080037
457 2.3923444976
583 2.4533856722
660 2.5693730730
661 2.5799793602
731 2.8835063437
769 2.9585798817
814 3.0674846626
825 3.2938076416
