evaluations raw_y
1 -0.4787545459
10 -0.4741601328
11 -0.4738939929
13 -0.4678484633
15 -0.4618128379
19 -0.4558034636
23 -0.4351497771
32 -0.4312555391
39 -0.4217355883
41 -0.4183083037
45 -0.4127629744
55 -0.4116560728
57 -0.4095693420
58 -0.4051479120
61 -0.4002470759
63 -0.3995060585
68 -0.3889830599
70 -0.3850983794
97 -0.3781602046
109 -0.3781518195
132 -0.3773589740
163 -0.3767423918
175 -0.3681089576
188 -0.3651434617
214 -0.3625633630
234 -0.3519671493
311 -0.3509661089
320 -0.3456069131
323 -0.3455985280
332 -0.3442743243
335 -0.3388534933
343 -0.3380637354
368 -0.3318990737
380 -0.3287648236
403 -0.3247117426
417 -0.3239707252
464 -0.3232746744
476 -0.3218006798
571 -0.3152672767
843 -0.3146506944
1118 -0.3134738163
1138 -0.3071938298
1305 -0.3054224508
2463 -0.3019447225
9964 -0.3004376116
9968 -0.3001060376
19766 -0.2985907773
31712 -0.2950664852
84950 -0.2935880327
85519 -0.2920664943
100000 -0.2920664943
evaluations raw_y
1 -0.5084453634
2 -0.5042390188
6 -0.5026919635
13 -0.4976166712
16 -0.4930540933
17 -0.4903999632
19 -0.4880358759
22 -0.4876940468
27 -0.4842069892
30 -0.4815754589
32 -0.4761765169
40 -0.4663689064
42 -0.4652895609
56 -0.4493247562
60 -0.4391476416
64 -0.4350823767
71 -0.4230896841
85 -0.4208102357
92 -0.4162261841
93 -0.4125565874
97 -0.4119376081
104 -0.4095987982
120 -0.4015762516
121 -0.3976263631
125 -0.3972784061
143 -0.3854862512
151 -0.3836832988
153 -0.3836749137
159 -0.3824076527
176 -0.3786435598
190 -0.3774511297
194 -0.3702680650
196 -0.3696981810
200 -0.3690021302
216 -0.3685874848
230 -0.3673950547
235 -0.3635103741
238 -0.3634270442
240 -0.3625987326
248 -0.3591584434
258 -0.3506627755
277 -0.3480222496
308 -0.3410836022
342 -0.3410265394
358 -0.3359235501
360 -0.3349527777
371 -0.3348263722
400 -0.3300148408
438 -0.3265745516
468 -0.3242668011
535 -0.3236251988
537 -0.3236168136
547 -0.3175217664
548 -0.3152423180
574 -0.3098831222
617 -0.3096436290
645 -0.3090270467
658 -0.3085553119
837 -0.3075542715
955 -0.3075458864
1156 -0.3022262505
3032 -0.2992779934
47138 -0.2958002651
100000 -0.3024905795
evaluations raw_y
1 -0.5274651342
8 -0.5220802555
9 -0.5146515189
16 -0.5103542265
18 -0.5017207923
23 -0.4928415979
24 -0.4916113077
27 -0.4911362844
30 -0.4793807960
40 -0.4730639625
44 -0.4716841694
51 -0.4709881186
52 -0.4692772231
54 -0.4671904923
60 -0.4642066928
61 -0.4568598409
62 -0.4489863997
65 -0.4483364122
70 -0.4434432588
71 -0.4375468783
78 -0.4278323689
108 -0.4270542773
117 -0.4262130348
120 -0.4258814608
124 -0.4248967438
141 -0.4222768102
147 -0.4176673952
158 -0.4154865641
167 -0.4142150558
169 -0.4092610672
173 -0.4075788422
179 -0.4056095011
185 -0.4056011159
194 -0.4047992749
196 -0.4010011775
199 -0.3989381445
201 -0.3850860394
211 -0.3835391795
220 -0.3811788493
226 -0.3733646702
255 -0.3640433276
257 -0.3630422873
268 -0.3628301825
287 -0.3621373311
299 -0.3615207489
304 -0.3556242267
311 -0.3521839375
314 -0.3503809851
345 -0.3499663397
358 -0.3477268550
389 -0.3457363166
394 -0.3420026258
404 -0.3406784220
416 -0.3406700369
458 -0.3398075259
532 -0.3394759519
539 -0.3321934694
546 -0.3267726384
655 -0.3232261602
664 -0.3227460402
697 -0.3223313948
794 -0.3216649184
805 -0.3206559066
932 -0.3201065491
982 -0.3188762589
1001 -0.3127353021
1578 -0.3109639231
6273 -0.3080156659
11680 -0.3065004056
30452 -0.3030226773
31330 -0.3023937876
49012 -0.3010677896
53564 -0.2975434976
100000 -0.2975434976
evaluations raw_y
1 -0.4937548783
5 -0.4778622740
6 -0.4680531216
10 -0.4613106270
14 -0.4569586458
21 -0.4559365738
29 -0.4498398269
33 -0.4475603785
36 -0.4449461768
37 -0.4446677543
41 -0.4416839548
45 -0.4414129696
46 -0.4397680664
72 -0.4292447085
75 -0.4235422243
80 -0.4191858395
94 -0.4182913926
122 -0.4132801687
123 -0.4126219141
127 -0.4088023567
129 -0.4039273504
135 -0.3985681547
147 -0.3979145896
152 -0.3966537936
169 -0.3924826667
174 -0.3898021811
175 -0.3802822303
188 -0.3780243004
197 -0.3715726690
214 -0.3683145418
215 -0.3670430335
260 -0.3639503264
265 -0.3624287880
271 -0.3586646950
296 -0.3563569446
318 -0.3544859253
327 -0.3507644617
328 -0.3495341715
333 -0.3448515512
370 -0.3373703074
450 -0.3355989284
549 -0.3348554816
649 -0.3340773900
656 -0.3248952381
695 -0.3216450173
1018 -0.3207825063
1092 -0.3105457138
1150 -0.3102141398
2952 -0.3078018043
3109 -0.3021037653
10130 -0.3005151638
10344 -0.3003887584
10368 -0.2950691225
51488 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5102623999
9 -0.4903121675
11 -0.4859904360
28 -0.4779940030
33 -0.4776013787
35 -0.4700306372
38 -0.4662343599
39 -0.4622645272
41 -0.4591557123
42 -0.4573315721
43 -0.4560910385
44 -0.4542880860
47 -0.4534438744
54 -0.4496783325
58 -0.4467584511
64 -0.4403292896
66 -0.4355065153
81 -0.4328523853
87 -0.4322825013
89 -0.4261178396
95 -0.4207519439
103 -0.4143764021
106 -0.4120969537
119 -0.4091970713
125 -0.4048318856
129 -0.3923070264
133 -0.3843102498
142 -0.3830799596
151 -0.3788792983
160 -0.3783991783
172 -0.3775823772
177 -0.3774112438
179 -0.3772848383
181 -0.3760240423
194 -0.3745667957
198 -0.3696659596
220 -0.3690123946
221 -0.3665910116
269 -0.3590531099
270 -0.3554710319
306 -0.3531714019
311 -0.3526015179
346 -0.3520632330
353 -0.3493512971
357 -0.3420688146
365 -0.3408319737
403 -0.3399039789
409 -0.3373463785
481 -0.3371790512
522 -0.3348149638
543 -0.3271357717
626 -0.3221245478
644 -0.3217099024
702 -0.3213324924
754 -0.3200781215
755 -0.3177703710
800 -0.3172902510
823 -0.3136711497
830 -0.3096058848
836 -0.3089893026
901 -0.3045019555
1027 -0.3033095254
1141 -0.3020792352
1376 -0.3020708501
9921 -0.3014419603
10309 -0.2996032754
18832 -0.2982772775
20547 -0.2981594699
20557 -0.2928002742
100000 -0.3097110582
evaluations raw_y
1 -0.5218585059
5 -0.5206660757
8 -0.5161521881
10 -0.5045458937
13 -0.4982898494
16 -0.4831587332
17 -0.4778498572
18 -0.4518102531
21 -0.4478092419
22 -0.4400285717
25 -0.4370496428
31 -0.4367180688
44 -0.4344386204
45 -0.4261892403
57 -0.4220698572
58 -0.4150035504
64 -0.4143034773
69 -0.4054242829
78 -0.4027701529
83 -0.3986869334
94 -0.3960007341
105 -0.3905799030
106 -0.3868143611
107 -0.3860733437
109 -0.3817086091
110 -0.3744881626
114 -0.3734791508
116 -0.3722386171
127 -0.3717584971
132 -0.3699308667
138 -0.3629885535
143 -0.3624472214
152 -0.3591421150
185 -0.3586619950
204 -0.3580454128
236 -0.3579641154
251 -0.3579070526
255 -0.3541429596
256 -0.3538189214
273 -0.3520159689
275 -0.3414929704
293 -0.3365614718
319 -0.3363780535
374 -0.3329152948
391 -0.3254265152
403 -0.3191384629
413 -0.3191300778
556 -0.3181210660
561 -0.3114307516
625 -0.3102004614
677 -0.3063157809
1061 -0.3059917426
1204 -0.3052294449
1226 -0.3039579365
3548 -0.3021192516
6669 -0.3006039913
30986 -0.2992779934
31832 -0.2958002651
76987 -0.2950053886
77023 -0.2928002742
100000 -0.3026078847
evaluations raw_y
1 -0.4912040975
3 -0.4906270646
4 -0.4900973219
5 -0.4863562767
7 -0.4827941834
9 -0.4797465184
11 -0.4743616397
15 -0.4714150885
17 -0.4667214219
21 -0.4649184695
27 -0.4626590099
29 -0.4613392028
32 -0.4565485127
33 -0.4541858919
36 -0.4538618536
38 -0.4519247088
41 -0.4508978228
51 -0.4359400809
62 -0.4315880997
67 -0.4296167921
71 -0.4221245883
79 -0.4208530800
85 -0.4100353798
86 -0.4019702622
87 -0.3979171812
111 -0.3918760639
116 -0.3917927340
139 -0.3910146424
140 -0.3846127813
146 -0.3817846074
152 -0.3768107388
176 -0.3764627818
181 -0.3744241992
184 -0.3740095538
186 -0.3739640187
195 -0.3727337285
200 -0.3721638446
211 -0.3706943484
214 -0.3597422579
242 -0.3594182197
252 -0.3574465686
254 -0.3531248370
262 -0.3508170866
270 -0.3464519009
346 -0.3430868623
350 -0.3423245645
