evaluations raw_y
1 2377.0000000000
4 2394.0000000000
7 2422.0000000000
9 2528.0000000000
14 2572.0000000000
20 2671.0000000000
22 2682.0000000000
25 2696.0000000000
27 2785.0000000000
30 2865.0000000000
39 2910.0000000000
45 2928.0000000000
49 2954.0000000000
52 3001.0000000000
59 3020.0000000000
60 3036.0000000000
64 3038.0000000000
65 3072.0000000000
67 3170.0000000000
71 3171.0000000000
79 3192.0000000000
82 3221.0000000000
84 3336.0000000000
88 3420.0000000000
92 3550.0000000000
96 3607.0000000000
97 3630.0000000000
106 3723.0000000000
111 3791.0000000000
128 3880.0000000000
129 3953.0000000000
134 4011.0000000000
137 4069.0000000000
142 4108.0000000000
144 4133.0000000000
146 4221.0000000000
160 4256.0000000000
165 4263.0000000000
166 4333.0000000000
171 4392.0000000000
180 4396.0000000000
186 4460.0000000000
205 4479.0000000000
210 4481.0000000000
223 4501.0000000000
225 4573.0000000000
234 4597.0000000000
249 4668.0000000000
262 4686.0000000000
266 4713.0000000000
287 4780.0000000000
290 4781.0000000000
338 4795.0000000000
359 4840.0000000000
366 4926.0000000000
374 4929.0000000000
394 4966.0000000000
403 4982.0000000000
417 4998.0000000000
448 5008.0000000000
608 5013.0000000000
669 5041.0000000000
735 5050.0000000000
evaluations raw_y
1 2109.0000000000
2 2119.0000000000
3 2149.0000000000
9 2205.0000000000
12 2207.0000000000
15 2303.0000000000
22 2324.0000000000
25 2390.0000000000
26 2448.0000000000
30 2478.0000000000
36 2547.0000000000
44 2566.0000000000
50 2606.0000000000
54 2722.0000000000
57 2803.0000000000
61 2811.0000000000
67 2926.0000000000
73 2983.0000000000
74 3059.0000000000
84 3102.0000000000
91 3226.0000000000
99 3286.0000000000
109 3304.0000000000
110 3409.0000000000
116 3433.0000000000
123 3455.0000000000
127 3463.0000000000
134 3523.0000000000
137 3578.0000000000
144 3602.0000000000
150 3615.0000000000
151 3620.0000000000
157 3671.0000000000
158 3757.0000000000
162 3815.0000000000
166 3871.0000000000
189 3905.0000000000
212 3996.0000000000
225 4034.0000000000
248 4111.0000000000
249 4134.0000000000
264 4137.0000000000
291 4169.0000000000
302 4204.0000000000
310 4315.0000000000
311 4339.0000000000
314 4386.0000000000
321 4393.0000000000
351 4399.0000000000
370 4494.0000000000
463 4502.0000000000
468 4557.0000000000
547 4651.0000000000
590 4663.0000000000
610 4665.0000000000
647 4695.0000000000
690 4747.0000000000
701 4813.0000000000
716 4893.0000000000
722 4895.0000000000
727 4905.0000000000
756 4919.0000000000
876 4988.0000000000
994 5006.0000000000
1079 5013.0000000000
1101 5033.0000000000
1135 5050.0000000000
evaluations raw_y
1 2582.0000000000
5 2615.0000000000
7 2742.0000000000
15 2842.0000000000
16 2859.0000000000
22 2882.0000000000
28 2943.0000000000
32 2964.0000000000
37 3045.0000000000
41 3119.0000000000
44 3154.0000000000
46 3170.0000000000
52 3228.0000000000
64 3233.0000000000
67 3327.0000000000
68 3375.0000000000
71 3397.0000000000
76 3407.0000000000
77 3416.0000000000
78 3444.0000000000
82 3621.0000000000
86 3638.0000000000
87 3753.0000000000
99 3795.0000000000
101 3801.0000000000
110 3827.0000000000
115 3862.0000000000
119 3876.0000000000
120 3956.0000000000
122 3957.0000000000
123 4021.0000000000
127 4049.0000000000
129 4096.0000000000
132 4145.0000000000
138 4223.0000000000
159 4277.0000000000
166 4290.0000000000
182 4321.0000000000
186 4396.0000000000
187 4458.0000000000
192 4515.0000000000
207 4610.0000000000
224 4623.0000000000
245 4689.0000000000
251 4733.0000000000
255 4739.0000000000
258 4855.0000000000
371 4858.0000000000
399 4886.0000000000
408 4949.0000000000
568 4951.0000000000
615 4962.0000000000
636 5003.0000000000
811 5028.0000000000
852 5032.0000000000
860 5044.0000000000
1196 5050.0000000000
evaluations raw_y
