evaluations raw_y
1 1.2879958784
2 1.4475969890
19 1.4560279557
45 1.5576323988
110 1.7445917655
202 1.8288222385
206 1.9425019425
289 2.0712510356
343 2.1570319241
398 2.1645021645
459 2.1834061135
474 2.2665457842
490 2.5588536336
612 2.5746652935
614 2.5960539979
639 2.8441410694
733 2.9446407538
826 3.3829499323
1287 3.6284470247
1402 3.7257824143
1603 3.9494470774
100000 3.0012004802
evaluations raw_y
1 0.7429420505
2 1.2130033964
4 1.2345679012
12 1.5069318867
49 1.5346838551
70 1.6202203500
125 1.7088174983
232 1.7470300489
265 1.9040365575
314 1.9127773527
323 1.9215987702
344 2.0508613618
449 2.1496130696
482 2.2222222222
601 2.3923444976
612 2.3969319271
650 2.4777006938
677 2.5432349949
790 2.6737967914
810 2.7442371021
823 2.7995520717
871 3.0674846626
1084 3.4578146611
1360 3.5460992908
23407 3.6284470247
23927 3.8402457757
100000 2.3923444976
evaluations raw_y
1 1.2840267078
9 1.8024513338
182 1.8670649739
210 1.9127773527
221 2.0374898126
235 2.0644095789
294 2.0746887967
296 2.3386342376
403 2.4826216485
465 2.6288117771
466 2.6795284030
528 2.8058361392
553 2.8636884307
642 2.8768699655
689 3.0525030525
770 3.0750307503
953 3.0978934325
1292 3.1055900621
1586 3.2258064516
1748 3.2938076416
1908 3.3200531208
1910 3.4106412005
2055 3.5971223022
2115 3.6710719530
2117 3.7257824143
8256 3.9872408293
8314 4.2158516020
42355 4.3029259897
42730 4.4404973357
100000 4.4404973357
evaluations raw_y
1 0.5011024253
2 0.9317927693
4 1.2236906510
7 1.2973533991
19 1.4343086632
39 1.7182130584
222 1.7998560115
279 2.0542317173
283 2.1422450728
347 2.4108003857
436 2.4201355276
445 2.4727992087
459 2.5960539979
729 2.6068821689
860 2.6343519494
907 2.6455026455
1025 2.7746947836
1032 2.9515938607
1092 3.0012004802
1119 3.1685678074
1355 3.1928480204
1393 3.3112582781
1549 3.3288948069
1830 3.3557046980
1874 3.4199726402
2140 3.4867503487
2401 3.6818851252
2501 3.6927621861
2572 3.7037037037
29224 3.8167938931
29409 3.8759689922
100000 3.2594524120
evaluations raw_y
1 1.0969723563
4 1.1431184271
5 1.2581781580
6 1.4409221902
16 1.4907573047
51 1.5713387806
98 1.6677785190
219 1.6835016835
224 1.7041581459
241 1.7844396859
247 1.9546520719
329 2.1607605877
413 2.2665457842
433 2.3255813953
485 2.4485798237
535 2.5693730730
598 2.5906735751
632 2.7685492802
993 2.8968713789
1177 2.9036004646
5896 3.0156815440
6418 3.0229746070
6424 3.0450669915
6506 3.0525030525
6702 3.1210986267
6796 3.2092426187
7158 3.4293552812
7498 3.4965034965
7728 3.5561877667
8012 3.7821482602
8076 4.0650406504
8137 4.1736227045
8664 4.1876046901
100000 3.6390101892
evaluations raw_y
1 0.8477449983
2 1.0208248265
5 1.9455252918
169 2.0644095789
319 2.1607605877
362 2.2831050228
396 2.4201355276
422 2.4390243902
444 2.4777006938
456 2.5227043391
458 2.5906735751
469 2.6737967914
541 2.8121484814
615 2.8441410694
696 3.0902348578
883 3.1289111389
899 3.1525851198
1093 3.1928480204
1110 3.3377837116
1129 3.3647375505
1146 3.4578146611
1643 4.2158516020
1876 4.3478260870
100000 4.3478260870
evaluations raw_y
1 0.8781173165
2 1.4679976512
100 1.4925373134
119 1.5179113540
132 1.5422578655
136 1.5654351910
186 1.6393442623
189 1.6744809109
200 1.8754688672
315 1.9577133908
367 2.0508613618
389 2.2872827081
397 2.3342670401
429 2.5075225677
548 2.5432349949
594 2.6068821689
652 2.6737967914
661 2.7442371021
708 2.8312570781
726 3.0303030303
842 3.2092426187
1227 3.2175032175
1310 3.4387895461
1755 3.4867503487
1855 3.5561877667
2076 3.5868005739
100000 3.3288948069
evaluations raw_y
1 1.5290519878
80 1.7568517217
174 1.7869907076
201 1.8261504748
228 1.8368846436
256 1.8450184502
291 1.8896447468
292 2.0374898126
367 2.1795989538
398 2.2143489814
403 2.2789425706
515 2.3041474654
518 2.3969319271
530 2.4154589372
611 2.6343519494
645 2.7502750275
674 2.8184892897
686 3.0012004802
702 3.1685678074
713 3.6284470247
1424 3.7037037037
14865 3.7936267071
15005 3.9246467818
100000 3.9246467818
evaluations raw_y
1 1.2879958784
11 1.3462574044
23 1.7445917655
97 1.7470300489
217 1.8208302986
244 1.8477457502
279 1.9607843137
282 2.0408163265
335 2.1645021645
341 2.2789425706
419 2.4630541872
461 2.4777006938
476 2.5176233635
488 2.6399155227
687 2.6511134677
702 2.8121484814
760 3.0826140567
940 3.0902348578
948 3.2258064516
3185 3.2594524120
3256 3.2679738562
3427 3.3829499323
3754 3.5460992908
3793 3.6179450072
3993 3.7147102526
100000 3.7147102526
evaluations raw_y
1 1.2987012987
3 1.4492753623
24 1.7397355602
164 1.7667844523
169 1.7717930546
252 2.0210185934
296 2.1422450728
343 2.2789425706
410 2.3786869648
418 2.4108003857
501 2.4826216485
543 2.6014568158
579 2.6511134677
654 2.7382256298
751 2.7685492802
757 2.7995520717
811 2.8248587571
880 2.8571428571
1073 2.9036004646
1138 2.9171528588
1143 2.9377203290
1761 2.9446407538
1840 3.0978934325
1880 3.3467202142
2133 3.3921302578
2257 3.4578146611
2303 3.5260930889
2394 3.7707390649
2495 3.8402457757
2543 4.1050903120
2863 4.2301184433
3169 4.2735042735
100000 3.4106412005
