evaluations raw_y
1 51.0000000000
2 55.0000000000
3 65.0000000000
34 66.0000000000
87 67.0000000000
91 70.0000000000
148 71.0000000000
190 73.0000000000
191 76.0000000000
273 77.0000000000
298 79.0000000000
371 81.0000000000
386 82.0000000000
429 83.0000000000
462 85.0000000000
584 86.0000000000
633 87.0000000000
693 88.0000000000
722 90.0000000000
788 91.0000000000
980 92.0000000000
1041 93.0000000000
1058 94.0000000000
1195 95.0000000000
1294 96.0000000000
1426 97.0000000000
1679 98.0000000000
1800 99.0000000000
2245 100.0000000000
100000 99.0000000000
evaluations raw_y
1 55.0000000000
5 59.0000000000
20 63.0000000000
111 65.0000000000
127 66.0000000000
141 67.0000000000
152 69.0000000000
171 71.0000000000
182 73.0000000000
262 74.0000000000
270 75.0000000000
320 76.0000000000
338 77.0000000000
384 78.0000000000
418 80.0000000000
434 81.0000000000
524 82.0000000000
530 83.0000000000
603 84.0000000000
620 85.0000000000
661 86.0000000000
704 87.0000000000
797 88.0000000000
921 89.0000000000
946 90.0000000000
1010 91.0000000000
1050 92.0000000000
1154 93.0000000000
1185 94.0000000000
1350 95.0000000000
1454 96.0000000000
1627 97.0000000000
1714 98.0000000000
1819 99.0000000000
1942 100.0000000000
100000 99.0000000000
evaluations raw_y
1 46.0000000000
3 51.0000000000
4 58.0000000000
29 59.0000000000
73 61.0000000000
82 63.0000000000
91 65.0000000000
151 66.0000000000
155 68.0000000000
162 70.0000000000
182 73.0000000000
284 74.0000000000
290 75.0000000000
318 76.0000000000
373 78.0000000000
423 80.0000000000
474 81.0000000000
515 82.0000000000
540 83.0000000000
568 84.0000000000
620 85.0000000000
663 86.0000000000
728 88.0000000000
842 89.0000000000
953 90.0000000000
1012 91.0000000000
1018 92.0000000000
1079 93.0000000000
1210 94.0000000000
1289 95.0000000000
1421 96.0000000000
1651 97.0000000000
1778 98.0000000000
2019 99.0000000000
2790 100.0000000000
100000 97.0000000000
evaluations raw_y
1 54.0000000000
2 56.0000000000
7 57.0000000000
10 58.0000000000
12 61.0000000000
31 63.0000000000
75 64.0000000000
89 68.0000000000
133 69.0000000000
158 73.0000000000
229 75.0000000000
266 79.0000000000
303 80.0000000000
326 81.0000000000
374 82.0000000000
382 83.0000000000
405 84.0000000000
440 86.0000000000
565 87.0000000000
625 88.0000000000
654 89.0000000000
703 90.0000000000
817 91.0000000000
892 92.0000000000
1046 93.0000000000
1119 94.0000000000
1215 95.0000000000
1341 96.0000000000
1608 97.0000000000
1766 98.0000000000
1870 99.0000000000
2308 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
6 58.0000000000
15 59.0000000000
22 62.0000000000
29 65.0000000000
41 66.0000000000
67 69.0000000000
95 71.0000000000
134 73.0000000000
199 77.0000000000
252 78.0000000000
267 79.0000000000
291 80.0000000000
326 81.0000000000
336 82.0000000000
407 85.0000000000
481 87.0000000000
505 88.0000000000
554 89.0000000000
659 90.0000000000
761 92.0000000000
872 93.0000000000
936 94.0000000000
977 95.0000000000
1117 96.0000000000
1406 97.0000000000
1448 98.0000000000
1707 99.0000000000
2189 100.0000000000
100000 98.0000000000
evaluations raw_y
1 44.0000000000
2 54.0000000000
9 59.0000000000
11 61.0000000000
49 69.0000000000
84 70.0000000000
176 71.0000000000
204 73.0000000000
230 74.0000000000
240 76.0000000000
243 77.0000000000
274 80.0000000000
369 81.0000000000
429 82.0000000000
443 83.0000000000
462 85.0000000000
482 86.0000000000
555 87.0000000000
560 88.0000000000
632 89.0000000000
647 91.0000000000
740 92.0000000000
911 93.0000000000
1004 94.0000000000
1181 95.0000000000
1249 96.0000000000
1441 97.0000000000
1849 98.0000000000
2019 99.0000000000
2671 100.0000000000
100000 100.0000000000
evaluations raw_y
1 49.0000000000
2 57.0000000000
20 61.0000000000
48 63.0000000000
102 65.0000000000
146 68.0000000000
217 72.0000000000
299 73.0000000000
306 74.0000000000
334 76.0000000000
384 77.0000000000
414 78.0000000000
497 79.0000000000
555 80.0000000000
597 81.0000000000
665 82.0000000000
701 84.0000000000
725 85.0000000000
742 86.0000000000
784 87.0000000000
814 88.0000000000
889 89.0000000000
916 90.0000000000
946 91.0000000000
1040 92.0000000000
1146 94.0000000000
1337 95.0000000000
1442 96.0000000000
1502 97.0000000000
1709 98.0000000000
2178 99.0000000000
2785 100.0000000000
100000 99.0000000000
evaluations raw_y
1 62.0000000000
61 64.0000000000
94 65.0000000000
110 66.0000000000
167 67.0000000000
179 70.0000000000
197 72.0000000000
204 73.0000000000
220 75.0000000000
263 76.0000000000
285 77.0000000000
335 80.0000000000
379 83.0000000000
450 84.0000000000
500 85.0000000000
518 86.0000000000
634 87.0000000000
668 89.0000000000
699 90.0000000000
915 91.0000000000
1075 92.0000000000
1171 93.0000000000
1298 94.0000000000
1524 95.0000000000
1649 96.0000000000
1771 97.0000000000
2279 98.0000000000
2807 99.0000000000
3167 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
5 53.0000000000
6 58.0000000000
11 61.0000000000
51 63.0000000000
113 65.0000000000
142 66.0000000000
159 72.0000000000
216 75.0000000000
