evaluations raw_y
1 1.0000000000
5 3.0000000000
8 5.0000000000
10 6.0000000000
20 7.0000000000
21 8.0000000000
81 9.0000000000
117 10.0000000000
180 11.0000000000
212 16.0000000000
275 18.0000000000
314 20.0000000000
332 21.0000000000
409 22.0000000000
447 23.0000000000
502 24.0000000000
620 25.0000000000
793 26.0000000000
819 27.0000000000
1068 31.0000000000
2155 33.0000000000
2301 34.0000000000
2472 39.0000000000
3273 40.0000000000
3530 43.0000000000
3684 44.0000000000
4061 45.0000000000
4308 46.0000000000
4789 47.0000000000
4868 49.0000000000
4939 54.0000000000
5291 56.0000000000
5500 57.0000000000
5573 60.0000000000
5604 61.0000000000
5769 63.0000000000
5987 64.0000000000
6080 65.0000000000
6155 66.0000000000
7250 67.0000000000
7804 71.0000000000
7877 72.0000000000
8219 74.0000000000
8475 77.0000000000
8724 79.0000000000
9201 81.0000000000
9665 82.0000000000
9715 83.0000000000
9918 84.0000000000
10181 86.0000000000
10832 89.0000000000
10913 92.0000000000
11096 93.0000000000
11368 94.0000000000
12251 98.0000000000
12801 100.0000000000
100000 19.0000000000
evaluations raw_y
1 2.0000000000
16 4.0000000000
63 5.0000000000
70 6.0000000000
98 8.0000000000
116 9.0000000000
158 11.0000000000
180 12.0000000000
346 13.0000000000
352 15.0000000000
588 20.0000000000
674 24.0000000000
891 25.0000000000
1040 27.0000000000
1127 29.0000000000
1519 30.0000000000
1832 33.0000000000
1855 36.0000000000
2038 42.0000000000
2365 43.0000000000
2538 48.0000000000
2712 51.0000000000
3339 53.0000000000
3803 56.0000000000
3951 57.0000000000
4038 58.0000000000
4302 60.0000000000
4542 62.0000000000
4690 64.0000000000
4811 65.0000000000
5024 67.0000000000
5076 71.0000000000
5439 74.0000000000
6007 75.0000000000
6162 76.0000000000
6360 79.0000000000
6523 80.0000000000
6786 83.0000000000
6822 85.0000000000
6884 86.0000000000
7209 88.0000000000
7398 89.0000000000
8229 92.0000000000
9801 95.0000000000
10118 98.0000000000
10732 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
5 8.0000000000
84 9.0000000000
183 12.0000000000
231 13.0000000000
359 14.0000000000
620 15.0000000000
756 18.0000000000
1646 19.0000000000
1960 23.0000000000
