evaluations raw_y
1 0.8183306056
2 0.9502090460
3 1.3220518244
16 1.3520822066
19 1.3927576602
24 1.4261266400
40 1.8129079043
59 1.8726591760
60 2.1132713440
1331 2.1459227468
2052 2.1834061135
2060 2.2341376229
2064 2.4154589372
2102 2.5484199796
2723 2.6910656620
3161 2.9940119760
4830 3.0156815440
5248 3.2594524120
10239 3.2765399738
10448 3.3025099075
10906 3.3829499323
10952 3.3921302578
11202 3.4293552812
11382 3.6496350365
11517 3.6603221083
100000 3.3112582781
evaluations raw_y
1 1.0752688172
2 1.0799136069
4 1.3192612137
16 1.3804527885
27 1.4409221902
53 1.4679976512
92 1.5365703749
162 1.5792798484
212 1.6903313049
784 1.7717930546
1051 1.7998560115
1593 1.8155410312
2046 2.3607176582
3311 2.6178010471
3743 2.7932960894
3797 2.8058361392
4224 2.9446407538
4976 3.0599755202
6734 3.1055900621
6835 3.1133250311
7067 3.4013605442
8013 3.4106412005
8655 3.4674063800
8787 3.6390101892
19916 3.7257824143
20777 3.7707390649
21083 3.8759689922
100000 2.6288117771
evaluations raw_y
1 1.2683916794
11 1.3082155939
17 1.3927576602
24 1.4836795252
46 1.5105740181
96 1.5852885225
113 1.6722408027
136 1.7692852088
978 2.0210185934
1643 2.0955574183
2011 2.1276595745
2152 2.4295432459
3021 2.5176233635
3180 2.5432349949
3273 2.6968716289
3324 2.8441410694
3397 3.1367628607
12415 3.1525851198
12669 3.1605562579
13616 3.3377837116
14437 3.7707390649
47842 3.8402457757
100000 3.8402457757
evaluations raw_y
1 1.1633317822
6 1.3262599469
15 1.3609145346
32 1.3713658804
37 1.4116318464
51 1.4749262537
90 1.7064846416
210 1.7111567420
269 1.7618040874
374 1.9098548510
1388 1.9638648861
1978 2.1949078139
2517 2.2789425706
3033 2.3474178404
3370 2.4679170780
3718 2.7502750275
3800 2.8248587571
4394 2.8702640643
4473 3.1133250311
4913 3.1525851198
4968 3.1766200762
5204 3.2258064516
5435 3.2851511170
5941 3.3647375505
6074 3.3921302578
6279 3.4674063800
6584 3.6284470247
6815 3.6603221083
6995 3.7369207773
91850 3.8051750381
92253 3.9123630673
92828 3.9619651347
100000 3.0303030303
evaluations raw_y
1 1.0101010101
8 1.2468827930
13 1.3095861708
16 1.4164305949
73 1.4594279043
85 1.5595757954
98 1.7844396859
343 1.8395879323
648 1.8982536067
762 2.0920502092
2116 2.1204410517
2226 2.1607605877
2535 2.2341376229
2796 2.2381378693
2890 2.2421524664
2901 2.2872827081
3025 2.7563395810
4004 2.8312570781
4256 2.8506271380
4398 2.9797377831
4445 3.4013605442
4745 3.4482758621
5069 3.5971223022
6783 3.7257824143
100000 3.7257824143
evaluations raw_y
1 1.0020040080
3 1.0544074230
4 1.3262599469
8 1.6767270288
207 1.7018379850
581 1.9305019305
1400 1.9485580670
1742 1.9516003123
2516 2.1240441801
3357 2.2381378693
3405 2.3299161230
3502 2.3923444976
3629 2.7027027027
4554 2.7563395810
4679 2.8058361392
4935 2.8248587571
4944 2.8571428571
5087 2.9171528588
5554 2.9446407538
5609 3.0012004802
5759 3.0978934325
5839 3.1605562579
5848 3.4770514604
6225 3.4965034965
7678 3.5161744023
7802 3.5561877667
100000 2.6737967914
evaluations raw_y
1 1.1483693156
4 1.2309207287
8 1.4164305949
33 1.4343086632
45 1.5033072760
75 1.8076644975
389 1.8504811251
1494 1.8670649739
1859 1.9455252918
2275 1.9888623707
2282 2.0210185934
2343 2.0990764064
2808 2.1097046414
2909 2.2624434389
3073 2.3342670401
3476 2.3923444976
3759 2.5329280648
3937 2.6511134677
4343 2.7808676307
5004 2.8248587571
5069 2.9103608847
5525 2.9308323564
5548 3.1847133758
6572 3.3467202142
7106 3.3738191633
7487 3.4106412005
7649 3.4578146611
7693 3.4674063800
7832 3.5868005739
8101 3.5971223022
8259 3.7037037037
8462 3.9494470774
13754 4.1597337770
