evaluations raw_y
1 56.0000000000
10 59.0000000000
98 63.0000000000
219 65.0000000000
553 66.0000000000
601 69.0000000000
874 71.0000000000
892 72.0000000000
1168 74.0000000000
1246 75.0000000000
1304 76.0000000000
1335 77.0000000000
1465 80.0000000000
1856 81.0000000000
1884 84.0000000000
2148 85.0000000000
2353 86.0000000000
2708 87.0000000000
2828 88.0000000000
2869 89.0000000000
3080 91.0000000000
3290 93.0000000000
3762 94.0000000000
3831 95.0000000000
3905 96.0000000000
4043 97.0000000000
4556 98.0000000000
4923 99.0000000000
5318 100.0000000000
evaluations raw_y
1 46.0000000000
2 50.0000000000
3 55.0000000000
23 58.0000000000
24 60.0000000000
96 63.0000000000
141 65.0000000000
196 66.0000000000
289 67.0000000000
469 68.0000000000
668 71.0000000000
761 72.0000000000
1010 73.0000000000
1085 74.0000000000
1155 75.0000000000
1264 77.0000000000
1564 78.0000000000
1575 80.0000000000
1750 81.0000000000
1936 83.0000000000
1997 84.0000000000
2252 86.0000000000
2354 87.0000000000
2594 90.0000000000
3091 93.0000000000
3629 94.0000000000
3941 96.0000000000
4434 97.0000000000
4506 99.0000000000
5270 100.0000000000
evaluations raw_y
1 47.0000000000
6 53.0000000000
9 56.0000000000
10 63.0000000000
61 65.0000000000
106 66.0000000000
435 67.0000000000
539 69.0000000000
675 72.0000000000
785 73.0000000000
1074 78.0000000000
1509 82.0000000000
2000 83.0000000000
2213 84.0000000000
2451 87.0000000000
2846 88.0000000000
3025 91.0000000000
3673 92.0000000000
3724 93.0000000000
4062 94.0000000000
4371 95.0000000000
4615 97.0000000000
5038 98.0000000000
5407 99.0000000000
5913 100.0000000000
evaluations raw_y
1 58.0000000000
12 61.0000000000
100 62.0000000000
101 64.0000000000
159 66.0000000000
471 68.0000000000
635 69.0000000000
884 70.0000000000
886 71.0000000000
912 72.0000000000
1015 73.0000000000
1251 76.0000000000
1394 77.0000000000
1520 78.0000000000
1613 80.0000000000
1708 81.0000000000
1954 82.0000000000
2098 83.0000000000
2294 84.0000000000
2531 85.0000000000
2624 87.0000000000
2700 88.0000000000
2795 91.0000000000
3520 92.0000000000
3647 93.0000000000
3674 94.0000000000
3715 95.0000000000
4249 96.0000000000
4438 97.0000000000
4570 98.0000000000
4818 99.0000000000
5281 100.0000000000
evaluations raw_y
1 44.0000000000
2 50.0000000000
3 55.0000000000
7 62.0000000000
28 66.0000000000
283 67.0000000000
376 68.0000000000
565 70.0000000000
670 71.0000000000
869 72.0000000000
997 75.0000000000
1048 76.0000000000
1525 77.0000000000
1597 83.0000000000
2316 85.0000000000
2514 86.0000000000
2843 87.0000000000
2924 88.0000000000
3078 90.0000000000
3380 91.0000000000
3611 93.0000000000
4081 94.0000000000
4220 96.0000000000
4478 97.0000000000
5221 98.0000000000
5815 99.0000000000
7148 100.0000000000
evaluations raw_y
1 57.0000000000
6 58.0000000000
13 60.0000000000
51 62.0000000000
94 65.0000000000
337 69.0000000000
509 70.0000000000
581 71.0000000000
829 72.0000000000
864 73.0000000000
991 75.0000000000
1383 76.0000000000
1393 77.0000000000
1553 79.0000000000
1780 81.0000000000
1879 82.0000000000
2011 83.0000000000
2072 85.0000000000
2403 87.0000000000
2735 89.0000000000
2919 90.0000000000
3198 91.0000000000
3215 94.0000000000
3687 95.0000000000
4182 96.0000000000
4409 97.0000000000
4562 98.0000000000
4940 99.0000000000
5576 100.0000000000
evaluations raw_y
1 52.0000000000
2 53.0000000000
4 54.0000000000
9 58.0000000000
51 60.0000000000
76 61.0000000000
124 64.0000000000
152 66.0000000000
558 68.0000000000
634 69.0000000000
724 72.0000000000
883 74.0000000000
1125 75.0000000000
1458 79.0000000000
1521 81.0000000000
1762 82.0000000000
1995 83.0000000000
2153 84.0000000000
2178 85.0000000000
2387 86.0000000000
2565 87.0000000000
2759 90.0000000000
3179 92.0000000000
3329 94.0000000000
3808 97.0000000000
4303 98.0000000000
4738 99.0000000000
5679 100.0000000000
evaluations raw_y
1 43.0000000000
2 61.0000000000
153 63.0000000000
208 70.0000000000
649 72.0000000000
833 81.0000000000
1655 83.0000000000
1919 84.0000000000
2017 85.0000000000
2174 86.0000000000
2535 88.0000000000
2538 89.0000000000
2698 91.0000000000
3484 94.0000000000
3546 95.0000000000
4236 96.0000000000
4306 97.0000000000
4678 98.0000000000
4786 99.0000000000
6829 100.0000000000
evaluations raw_y
1 58.0000000000
8 61.0000000000
45 63.0000000000
135 64.0000000000
202 66.0000000000
432 68.0000000000
552 71.0000000000
753 77.0000000000
1112 78.0000000000
1292 80.0000000000
1675 81.0000000000
1835 82.0000000000
1853 83.0000000000
2026 87.0000000000
2356 88.0000000000
2421 89.0000000000
2601 90.0000000000
2950 92.0000000000
3221 93.0000000000
3266 94.0000000000
3603 95.0000000000
3716 97.0000000000
3932 98.0000000000
4534 99.0000000000
4691 100.0000000000
evaluations raw_y
1 52.0000000000
3 53.0000000000
4 60.0000000000
96 61.0000000000
112 63.0000000000
313 65.0000000000
514 69.0000000000
570 70.0000000000
803 73.0000000000
1011 74.0000000000
1139 76.0000000000
1550 79.0000000000
1554 80.0000000000
1728 82.0000000000
1902 84.0000000000
1961 86.0000000000
2438 88.0000000000
2757 92.0000000000
3506 95.0000000000
3848 96.0000000000
4459 97.0000000000
4800 98.0000000000
6153 99.0000000000
6416 100.0000000000
