evaluations raw_y
1 -1372.0000000000
2 -1322.0000000000
3 -1313.0000000000
4 -1283.0000000000
7 -962.0000000000
107 -913.0000000000
223 -846.0000000000
313 -835.0000000000
449 -826.0000000000
566 -603.0000000000
986 -476.0000000000
1372 -456.0000000000
1482 -427.0000000000
1557 -409.0000000000
1562 -399.0000000000
1705 -360.0000000000
1811 -311.0000000000
2006 -282.0000000000
2123 -234.0000000000
2245 -195.0000000000
2569 -177.0000000000
2757 -128.0000000000
3025 -127.0000000000
3099 -118.0000000000
3185 -108.0000000000
3312 -71.0000000000
3582 -53.0000000000
3705 -51.0000000000
3801 -32.0000000000
3908 -24.0000000000
3943 -23.0000000000
4009 -14.0000000000
4141 -13.0000000000
4340 -12.0000000000
4350 4.0000000000
4773 5.0000000000
5013 6.0000000000
5861 7.0000000000
6956 8.0000000000
100000 -59.0000000000
evaluations raw_y
1 -1410.0000000000
8 -1186.0000000000
23 -1147.0000000000
42 -1002.0000000000
48 -972.0000000000
181 -845.0000000000
493 -787.0000000000
507 -767.0000000000
687 -748.0000000000
783 -650.0000000000
825 -553.0000000000
912 -427.0000000000
1373 -409.0000000000
1461 -408.0000000000
1719 -301.0000000000
1769 -262.0000000000
1867 -216.0000000000
2001 -214.0000000000
2422 -175.0000000000
2477 -148.0000000000
2691 -147.0000000000
2713 -71.0000000000
2862 -70.0000000000
3336 -61.0000000000
3409 -30.0000000000
3427 -23.0000000000
4155 -13.0000000000
4354 -12.0000000000
4368 -4.0000000000
4628 -2.0000000000
4671 5.0000000000
5137 6.0000000000
5351 7.0000000000
6256 8.0000000000
7997 9.0000000000
100000 -78.0000000000
evaluations raw_y
1 -1196.0000000000
9 -1099.0000000000
48 -1079.0000000000
96 -1010.0000000000
108 -952.0000000000
122 -923.0000000000
413 -797.0000000000
464 -767.0000000000
501 -651.0000000000
611 -553.0000000000
842 -534.0000000000
981 -524.0000000000
1009 -515.0000000000
1036 -505.0000000000
1059 -379.0000000000
1829 -350.0000000000
1896 -272.0000000000
2338 -263.0000000000
2417 -234.0000000000
2533 -224.0000000000
2671 -195.0000000000
2779 -185.0000000000
2868 -156.0000000000
3212 -118.0000000000
3557 -81.0000000000
3641 -80.0000000000
4149 -61.0000000000
4360 -52.0000000000
4404 -42.0000000000
4500 -41.0000000000
4620 -33.0000000000
4901 -14.0000000000
5644 4.0000000000
5774 5.0000000000
6299 6.0000000000
6753 7.0000000000
7746 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1410.0000000000
5 -1293.0000000000
6 -1128.0000000000
22 -1098.0000000000
33 -1069.0000000000
87 -1049.0000000000
94 -1040.0000000000
156 -1020.0000000000
202 -953.0000000000
210 -865.0000000000
240 -758.0000000000
708 -563.0000000000
1050 -456.0000000000
1460 -418.0000000000
1574 -398.0000000000
1789 -350.0000000000
1853 -282.0000000000
2120 -253.0000000000
2349 -224.0000000000
2594 -194.0000000000
2650 -176.0000000000
2661 -167.0000000000
2825 -157.0000000000
3028 -156.0000000000
3132 -138.0000000000
3169 -119.0000000000
3306 -109.0000000000
3309 -71.0000000000
3641 -60.0000000000
3705 -32.0000000000
4388 -23.0000000000
4821 -13.0000000000
4822 -4.0000000000
4879 6.0000000000
5304 7.0000000000
6074 8.0000000000
6677 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1254.0000000000
13 -1186.0000000000
33 -1147.0000000000
43 -1137.0000000000
44 -1127.0000000000
97 -1098.0000000000
109 -1079.0000000000
155 -884.0000000000
451 -767.0000000000
502 -748.0000000000
567 -728.0000000000
645 -699.0000000000
708 -670.0000000000
717 -651.0000000000
761 -640.0000000000
968 -514.0000000000
1201 -388.0000000000
1757 -359.0000000000
1802 -330.0000000000
1921 -233.0000000000
2415 -225.0000000000
2531 -215.0000000000
2551 -214.0000000000
2714 -148.0000000000
2811 -147.0000000000
2861 -120.0000000000
3125 -90.0000000000
3533 -71.0000000000
3655 -24.0000000000
3837 -22.0000000000
4032 -14.0000000000
4344 3.0000000000
4370 4.0000000000
5247 5.0000000000
5894 6.0000000000
6325 7.0000000000
6905 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 -1644.0000000000
2 -1186.0000000000
30 -1030.0000000000
39 -1021.0000000000
60 -1010.0000000000
113 -972.0000000000
225 -904.0000000000
336 -894.0000000000
371 -826.0000000000
445 -747.0000000000
671 -690.0000000000
997 -641.0000000000
1118 -486.0000000000
1190 -457.0000000000
1226 -446.0000000000
1486 -417.0000000000
1609 -360.0000000000
2062 -341.0000000000
2063 -311.0000000000
2310 -243.0000000000
2594 -234.0000000000
2705 -195.0000000000
2919 -109.0000000000
3239 -100.0000000000
3524 -98.0000000000
3618 -80.0000000000
3649 -70.0000000000
3976 -52.0000000000
4054 -51.0000000000
4078 -25.0000000000
4260 -15.0000000000
4412 -6.0000000000
4471 3.0000000000
4626 6.0000000000
5290 7.0000000000
6112 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1527.0000000000
4 -1371.0000000000
5 -1264.0000000000
8 -1127.0000000000
53 -1001.0000000000
54 -913.0000000000
286 -845.0000000000
297 -826.0000000000
354 -787.0000000000
488 -718.0000000000
498 -670.0000000000
905 -641.0000000000
971 -591.0000000000
1038 -495.0000000000
1134 -360.0000000000
1867 -282.0000000000
2133 -254.0000000000
2159 -253.0000000000
2213 -185.0000000000
2527 -147.0000000000
2605 -137.0000000000
2815 -98.0000000000
3065 -88.0000000000
3113 -70.0000000000
3301 -52.0000000000
3496 -41.0000000000
3680 -33.0000000000
3851 -32.0000000000
4030 -22.0000000000
4071 -4.0000000000
4343 5.0000000000
4919 6.0000000000
5353 7.0000000000
7278 8.0000000000
8668 9.0000000000
100000 -30.0000000000
evaluations raw_y
1 -1546.0000000000
2 -1303.0000000000
3 -1225.0000000000
5 -1108.0000000000
31 -1098.0000000000
42 -1060.0000000000
50 -806.0000000000
571 -652.0000000000
935 -651.0000000000
968 -623.0000000000
1133 -554.0000000000
1355 -438.0000000000
1483 -409.0000000000
1739 -350.0000000000
1948 -292.0000000000
2044 -283.0000000000
2074 -216.0000000000
2223 -214.0000000000
2384 -177.0000000000
2609 -158.0000000000
2646 -148.0000000000
2779 -128.0000000000
3069 -119.0000000000
3124 -100.0000000000
3167 -99.0000000000
3337 -91.0000000000
3379 -71.0000000000
3587 -42.0000000000
4259 -33.0000000000
4316 -14.0000000000
4599 -4.0000000000
4750 -3.0000000000
4829 5.0000000000
5393 6.0000000000
6183 7.0000000000
6669 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1030.0000000000
38 -1020.0000000000
131 -904.0000000000
214 -893.0000000000
337 -874.0000000000
368 -787.0000000000
567 -777.0000000000
618 -670.0000000000
979 -631.0000000000
1020 -426.0000000000
1544 -301.0000000000
1812 -253.0000000000
2001 -224.0000000000
2148 -193.0000000000
2268 -186.0000000000
2395 -147.0000000000
2841 -136.0000000000
2895 -99.0000000000
3128 -90.0000000000
3237 -70.0000000000
3481 -51.0000000000
3687 -32.0000000000
3781 -22.0000000000
4061 -14.0000000000
4197 -13.0000000000
4229 -4.0000000000
4502 4.0000000000
4647 6.0000000000
5507 7.0000000000
6020 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1479.0000000000
2 -1371.0000000000
3 -1001.0000000000
65 -923.0000000000
346 -864.0000000000
443 -826.0000000000
581 -816.0000000000
607 -709.0000000000
853 -582.0000000000
1107 -573.0000000000
1140 -534.0000000000
1369 -495.0000000000
1471 -457.0000000000
1531 -321.0000000000
1946 -292.0000000000
2067 -215.0000000000
2410 -176.0000000000
2625 -147.0000000000
2894 -99.0000000000
3317 -89.0000000000
3521 -71.0000000000
3621 -70.0000000000
3652 -51.0000000000
3663 -42.0000000000
3786 -33.0000000000
3795 -4.0000000000
4908 3.0000000000
4929 5.0000000000
5320 6.0000000000
5501 7.0000000000
6073 8.0000000000
100000 -40.0000000000
