evaluations raw_y
1 -0.5271022708
2 -0.5078041181
3 -0.5029200881
4 -0.4726119239
7 -0.4535744450
32 -0.4436334268
58 -0.4371127401
67 -0.4246748569
175 -0.4144227258
193 -0.4142890184
206 -0.3969880019
238 -0.3962936793
279 -0.3915377221
319 -0.3839399957
337 -0.3716365744
389 -0.3705549137
411 -0.3693477359
436 -0.3671846919
447 -0.3615905351
534 -0.3580084570
553 -0.3570434479
595 -0.3558534835
610 -0.3554648467
672 -0.3537539512
703 -0.3508095785
801 -0.3505580397
811 -0.3498043831
823 -0.3483535681
830 -0.3480934876
852 -0.3465316234
885 -0.3458069947
889 -0.3455305830
894 -0.3390748855
908 -0.3346159017
957 -0.3342465344
978 -0.3302419899
999 -0.3282049812
1048 -0.3278734071
1054 -0.3273571074
1079 -0.3221607763
1121 -0.3209304861
1172 -0.3207819402
1175 -0.3194978860
1214 -0.3193085289
1256 -0.3181185646
1280 -0.3177869905
1386 -0.3169851495
1403 -0.3159365462
1422 -0.3140655269
1493 -0.3132636859
1619 -0.3083674879
1631 -0.3071510015
1810 -0.3059585714
1897 -0.3041556189
2074 -0.3035837920
2114 -0.3035267292
2237 -0.3028731641
2394 -0.3018721237
25649 -0.3003568634
32589 -0.2997269163
32645 -0.2990308655
44856 -0.2989130580
45081 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5058985359
2 -0.5004952659
3 -0.4764728829
8 -0.4728322783
13 -0.4573407789
78 -0.4291159811
88 -0.4163656866
146 -0.4117937449
155 -0.4037377428
243 -0.4024706253
253 -0.3949806592
287 -0.3942104819
307 -0.3762792633
394 -0.3711208645
417 -0.3676649269
446 -0.3642591127
449 -0.3578518515
510 -0.3561696265
543 -0.3558400997
569 -0.3534089818
585 -0.3439985892
681 -0.3420038918
718 -0.3373119824
745 -0.3283479215
821 -0.3271073879
871 -0.3235290946
962 -0.3229982493
971 -0.3227667969
994 -0.3222359515
1013 -0.3170687578
1037 -0.3160596766
1077 -0.3153186592
1090 -0.3152973788
1091 -0.3145563614
1165 -0.3128310577
1211 -0.3120687599
1353 -0.3113727091
1459 -0.3104028309
1475 -0.3096618136
1679 -0.3086607732
1770 -0.3080072081
2471 -0.3076756341
7415 -0.3041513420
21686 -0.2995021103
30506 -0.2965538531
100000 -0.3003734105
evaluations raw_y
1 -0.4616699657
8 -0.4610489682
31 -0.4588238196
56 -0.4489710066
