evaluations raw_y
1 60.0000000000
30 64.0000000000
387 65.0000000000
550 70.0000000000
802 73.0000000000
1103 74.0000000000
1286 77.0000000000
1562 78.0000000000
1944 81.0000000000
2214 82.0000000000
2308 83.0000000000
2634 84.0000000000
2697 86.0000000000
2887 88.0000000000
3252 90.0000000000
3464 92.0000000000
4154 93.0000000000
4192 94.0000000000
4842 95.0000000000
5225 96.0000000000
5872 97.0000000000
6584 98.0000000000
7184 99.0000000000
7794 100.0000000000
evaluations raw_y
1 49.0000000000
3 56.0000000000
6 59.0000000000
36 62.0000000000
220 63.0000000000
298 64.0000000000
361 65.0000000000
367 66.0000000000
499 68.0000000000
610 69.0000000000
821 71.0000000000
834 72.0000000000
1023 75.0000000000
1334 77.0000000000
1663 78.0000000000
1831 80.0000000000
2201 84.0000000000
2285 85.0000000000
2687 86.0000000000
2866 87.0000000000
2931 89.0000000000
3333 90.0000000000
3567 91.0000000000
3582 92.0000000000
4092 93.0000000000
4456 94.0000000000
4694 95.0000000000
5128 96.0000000000
5592 97.0000000000
5840 98.0000000000
6307 99.0000000000
7531 100.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
3 60.0000000000
30 61.0000000000
134 65.0000000000
400 69.0000000000
734 74.0000000000
1192 75.0000000000
1383 76.0000000000
1519 78.0000000000
1762 80.0000000000
1834 82.0000000000
1979 84.0000000000
2187 87.0000000000
2681 90.0000000000
3195 91.0000000000
3289 92.0000000000
3538 93.0000000000
3923 94.0000000000
3934 95.0000000000
4006 96.0000000000
4583 97.0000000000
5404 98.0000000000
6222 99.0000000000
8271 100.0000000000
evaluations raw_y
1 54.0000000000
4 55.0000000000
32 59.0000000000
62 68.0000000000
670 70.0000000000
882 71.0000000000
1211 72.0000000000
1221 74.0000000000
1306 75.0000000000
1484 77.0000000000
1546 79.0000000000
1919 81.0000000000
2026 84.0000000000
2867 87.0000000000
3051 88.0000000000
3102 89.0000000000
3482 90.0000000000
3596 91.0000000000
4410 92.0000000000
4648 93.0000000000
4797 94.0000000000
5314 95.0000000000
5844 96.0000000000
6172 97.0000000000
6659 98.0000000000
7326 99.0000000000
8587 100.0000000000
evaluations raw_y
1 56.0000000000
42 61.0000000000
223 68.0000000000
590 69.0000000000
756 71.0000000000
825 73.0000000000
938 74.0000000000
1181 75.0000000000
1221 78.0000000000
1588 79.0000000000
1725 80.0000000000
1840 82.0000000000
2178 84.0000000000
2243 85.0000000000
2398 88.0000000000
2813 90.0000000000
3043 92.0000000000
3664 94.0000000000
3867 95.0000000000
4364 96.0000000000
4756 97.0000000000
5395 98.0000000000
6165 99.0000000000
6810 100.0000000000
evaluations raw_y
1 48.0000000000
3 55.0000000000
16 58.0000000000
40 60.0000000000
86 62.0000000000
88 63.0000000000
119 64.0000000000
382 66.0000000000
522 67.0000000000
553 69.0000000000
779 72.0000000000
1215 74.0000000000
1338 75.0000000000
1405 76.0000000000
1445 77.0000000000
1581 79.0000000000
1599 80.0000000000
1711 81.0000000000
2104 82.0000000000
2309 83.0000000000
2598 84.0000000000
2638 85.0000000000
2776 86.0000000000
2815 87.0000000000
3143 89.0000000000
3701 90.0000000000
3766 94.0000000000
4366 95.0000000000
4881 96.0000000000
5029 97.0000000000
5655 98.0000000000
6022 99.0000000000
7005 100.0000000000
evaluations raw_y
1 53.0000000000
13 60.0000000000
109 64.0000000000
300 66.0000000000
411 68.0000000000
483 69.0000000000
899 70.0000000000
911 72.0000000000
1080 77.0000000000
1382 78.0000000000
1765 80.0000000000
1848 81.0000000000
2127 82.0000000000
2177 83.0000000000
2314 85.0000000000
2370 87.0000000000
2858 89.0000000000
3174 90.0000000000
3491 91.0000000000
3569 95.0000000000
4305 97.0000000000
4979 98.0000000000
5252 99.0000000000
7062 100.0000000000
evaluations raw_y
1 54.0000000000
3 55.0000000000
5 57.0000000000
13 58.0000000000
22 61.0000000000
61 65.0000000000
283 66.0000000000
298 67.0000000000
414 70.0000000000
1000 72.0000000000
1065 73.0000000000
1096 74.0000000000
1098 78.0000000000
1441 81.0000000000
1977 83.0000000000
2171 85.0000000000
2567 87.0000000000
2986 88.0000000000
3026 89.0000000000
3042 90.0000000000
3109 91.0000000000
3385 93.0000000000
3883 94.0000000000
4091 96.0000000000
4301 98.0000000000
5478 99.0000000000
6218 100.0000000000
evaluations raw_y
1 55.0000000000
2 56.0000000000
6 58.0000000000
58 59.0000000000
66 60.0000000000
146 62.0000000000
179 65.0000000000
431 66.0000000000
435 67.0000000000
531 69.0000000000
792 71.0000000000
1074 72.0000000000
1127 74.0000000000
1214 77.0000000000
1389 80.0000000000
1751 83.0000000000
2179 84.0000000000
2478 86.0000000000
2841 88.0000000000
3105 91.0000000000
3679 92.0000000000
3886 93.0000000000
4065 94.0000000000
4504 95.0000000000
4527 96.0000000000
5109 97.0000000000
6078 98.0000000000
6362 99.0000000000
7436 100.0000000000
evaluations raw_y
1 47.0000000000
2 50.0000000000
3 53.0000000000
4 57.0000000000
5 58.0000000000
15 60.0000000000
24 65.0000000000
102 66.0000000000
392 67.0000000000
476 69.0000000000
667 70.0000000000
798 72.0000000000
1022 74.0000000000
1372 75.0000000000
1432 76.0000000000
1460 79.0000000000
1803 80.0000000000
2123 82.0000000000
2297 83.0000000000
2408 84.0000000000
2552 86.0000000000
2705 87.0000000000
2834 89.0000000000
3317 90.0000000000
3454 91.0000000000
3614 94.0000000000
4283 95.0000000000
4470 96.0000000000
4907 97.0000000000
5198 98.0000000000
6111 99.0000000000
7538 100.0000000000
