evaluations raw_y
1 -1264.0000000000
3 -1088.0000000000
10 -855.0000000000
161 -787.0000000000
259 -739.0000000000
373 -641.0000000000
490 -602.0000000000
677 -515.0000000000
1013 -427.0000000000
1033 -388.0000000000
1183 -224.0000000000
1697 -177.0000000000
1971 -118.0000000000
2292 -100.0000000000
2601 -40.0000000000
2992 -15.0000000000
3525 -14.0000000000
3568 -13.0000000000
3603 -12.0000000000
3629 -5.0000000000
3669 6.0000000000
4462 7.0000000000
4927 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1595.0000000000
2 -1157.0000000000
6 -1108.0000000000
15 -1088.0000000000
40 -1040.0000000000
140 -992.0000000000
200 -952.0000000000
300 -757.0000000000
640 -728.0000000000
802 -680.0000000000
946 -641.0000000000
996 -573.0000000000
1168 -564.0000000000
1233 -486.0000000000
1338 -485.0000000000
1480 -370.0000000000
1688 -360.0000000000
1895 -359.0000000000
1978 -340.0000000000
2099 -331.0000000000
2119 -292.0000000000
2247 -282.0000000000
2261 -244.0000000000
2441 -234.0000000000
2450 -195.0000000000
2571 -176.0000000000
2585 -147.0000000000
2714 -129.0000000000
2812 -118.0000000000
2922 -62.0000000000
3357 -52.0000000000
3414 -14.0000000000
3659 -5.0000000000
4231 4.0000000000
4382 5.0000000000
5151 6.0000000000
5195 7.0000000000
6085 8.0000000000
7071 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1703.0000000000
2 -1303.0000000000
3 -1137.0000000000
17 -1118.0000000000
48 -855.0000000000
307 -797.0000000000
333 -729.0000000000
582 -728.0000000000
650 -719.0000000000
658 -631.0000000000
774 -544.0000000000
847 -505.0000000000
1248 -458.0000000000
1305 -447.0000000000
1355 -399.0000000000
1450 -302.0000000000
1671 -301.0000000000
1757 -273.0000000000
1996 -206.0000000000
2224 -196.0000000000
2314 -166.0000000000
2527 -147.0000000000
2621 -129.0000000000
2701 -108.0000000000
2868 -90.0000000000
3083 -61.0000000000
3084 -50.0000000000
3269 -42.0000000000
3594 -24.0000000000
3895 -6.0000000000
4003 -4.0000000000
4493 4.0000000000
4604 5.0000000000
5267 6.0000000000
5321 7.0000000000
7222 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1303.0000000000
2 -1040.0000000000
13 -1030.0000000000
24 -943.0000000000
69 -913.0000000000
112 -894.0000000000
126 -738.0000000000
244 -709.0000000000
453 -631.0000000000
658 -612.0000000000
948 -554.0000000000
1162 -496.0000000000
1292 -388.0000000000
1444 -379.0000000000
1565 -302.0000000000
1749 -301.0000000000
1839 -263.0000000000
2092 -205.0000000000
2211 -109.0000000000
