evaluations raw_y
1 1.0000000000
3 4.0000000000
26 9.0000000000
478 10.0000000000
579 12.0000000000
1211 16.0000000000
1439 19.0000000000
1712 21.0000000000
2415 23.0000000000
2850 24.0000000000
3144 26.0000000000
3627 31.0000000000
3657 33.0000000000
4812 34.0000000000
5589 35.0000000000
6110 36.0000000000
6608 37.0000000000
7190 38.0000000000
7468 41.0000000000
8740 42.0000000000
9650 46.0000000000
9837 48.0000000000
9863 50.0000000000
10454 51.0000000000
11535 52.0000000000
12681 53.0000000000
12856 54.0000000000
13803 55.0000000000
15352 58.0000000000
15801 59.0000000000
16583 60.0000000000
17115 62.0000000000
18192 63.0000000000
20288 64.0000000000
21650 65.0000000000
22518 66.0000000000
24426 67.0000000000
25177 68.0000000000
26081 69.0000000000
26627 70.0000000000
27978 72.0000000000
28742 77.0000000000
29881 79.0000000000
31546 80.0000000000
33083 82.0000000000
33802 85.0000000000
34776 86.0000000000
35807 89.0000000000
36134 90.0000000000
36852 91.0000000000
39242 93.0000000000
40051 94.0000000000
40456 98.0000000000
41031 100.0000000000
evaluations raw_y
1 0.0000000000
3 4.0000000000
48 5.0000000000
171 7.0000000000
244 10.0000000000
306 12.0000000000
653 14.0000000000
1091 18.0000000000
2056 20.0000000000
2361 22.0000000000
2418 23.0000000000
2791 25.0000000000
3026 26.0000000000
3690 27.0000000000
4154 28.0000000000
4508 29.0000000000
6042 31.0000000000
6725 32.0000000000
6798 33.0000000000
7103 35.0000000000
8666 37.0000000000
9375 39.0000000000
10676 44.0000000000
11014 46.0000000000
12176 47.0000000000
13763 50.0000000000
14216 51.0000000000
14440 54.0000000000
15485 65.0000000000
16370 66.0000000000
17010 67.0000000000
17658 68.0000000000
18790 69.0000000000
19553 70.0000000000
19931 71.0000000000
20344 73.0000000000
21602 76.0000000000
22180 78.0000000000
23000 79.0000000000
24381 83.0000000000
25038 86.0000000000
26149 87.0000000000
27590 88.0000000000
28381 94.0000000000
28607 96.0000000000
30482 97.0000000000
31062 99.0000000000
31749 100.0000000000
evaluations raw_y
1 0.0000000000
7 1.0000000000
9 2.0000000000
13 3.0000000000
31 4.0000000000
36 5.0000000000
81 6.0000000000
206 9.0000000000
341 10.0000000000
477 11.0000000000
917 13.0000000000
1157 14.0000000000
1328 18.0000000000
1571 25.0000000000
2496 26.0000000000
3444 30.0000000000
3618 31.0000000000
5182 35.0000000000
5392 36.0000000000
5677 41.0000000000
6026 46.0000000000
6195 48.0000000000
7343 51.0000000000
8462 52.0000000000
9270 54.0000000000
9968 58.0000000000
10740 59.0000000000
11335 61.0000000000
12353 62.0000000000
12685 63.0000000000
13069 65.0000000000
13871 68.0000000000
14351 70.0000000000
15323 72.0000000000
15852 74.0000000000
16164 75.0000000000
17242 81.0000000000
17593 82.0000000000
18492 83.0000000000
20384 84.0000000000
20664 86.0000000000
21216 87.0000000000
22606 90.0000000000
23396 92.0000000000
24805 95.0000000000
25599 96.0000000000
25956 97.0000000000
27240 98.0000000000
27422 99.0000000000
28341 100.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 4.0000000000
22 7.0000000000
200 8.0000000000
436 10.0000000000
710 11.0000000000
1152 12.0000000000
1342 14.0000000000
1531 17.0000000000
1801 22.0000000000
2462 23.0000000000
2651 27.0000000000
3222 28.0000000000
3754 37.0000000000
3866 39.0000000000
4183 40.0000000000
4227 42.0000000000
4701 43.0000000000
5550 46.0000000000
6100 49.0000000000
6305 53.0000000000
7041 56.0000000000
7309 57.0000000000
7553 60.0000000000
9095 63.0000000000
9940 64.0000000000
10460 66.0000000000
10909 68.0000000000
10946 72.0000000000
11769 77.0000000000
12949 81.0000000000
13955 83.0000000000
15130 85.0000000000
15884 88.0000000000
16507 90.0000000000
18129 91.0000000000
18738 93.0000000000
18866 95.0000000000
18912 96.0000000000
20170 98.0000000000
22135 100.0000000000
evaluations raw_y
1 1.0000000000
10 2.0000000000
20 4.0000000000
33 6.0000000000
60 8.0000000000
88 10.0000000000
261 12.0000000000
452 14.0000000000
