evaluations raw_y
1 2366.0000000000
2 2404.0000000000
4 2473.0000000000
5 2823.0000000000
10 2910.0000000000
24 3166.0000000000
74 3215.0000000000
222 3227.0000000000
290 3241.0000000000
309 3481.0000000000
550 3518.0000000000
554 3647.0000000000
780 3675.0000000000
814 3769.0000000000
849 3822.0000000000
1203 3914.0000000000
1357 3918.0000000000
1609 4000.0000000000
1659 4079.0000000000
1699 4167.0000000000
1844 4316.0000000000
2298 4368.0000000000
2441 4390.0000000000
2505 4399.0000000000
2512 4441.0000000000
2520 4472.0000000000
2625 4556.0000000000
2665 4581.0000000000
2947 4588.0000000000
2962 4645.0000000000
3336 4651.0000000000
3415 4707.0000000000
3513 4781.0000000000
3741 4832.0000000000
3990 4863.0000000000
4447 4871.0000000000
4493 4877.0000000000
4555 4904.0000000000
4685 4908.0000000000
4868 4923.0000000000
4921 4928.0000000000
5161 4933.0000000000
5206 4959.0000000000
5457 4963.0000000000
5682 4977.0000000000
5742 4984.0000000000
5791 4990.0000000000
6246 4996.0000000000
6348 5003.0000000000
6377 5004.0000000000
6449 5012.0000000000
6781 5015.0000000000
6973 5016.0000000000
6974 5023.0000000000
7070 5025.0000000000
7217 5028.0000000000
7558 5034.0000000000
7857 5038.0000000000
7966 5040.0000000000
8127 5041.0000000000
9320 5050.0000000000
evaluations raw_y
1 2268.0000000000
2 2633.0000000000
4 2723.0000000000
13 2852.0000000000
14 2901.0000000000
36 3092.0000000000
52 3196.0000000000
83 3328.0000000000
187 3354.0000000000
355 3359.0000000000
365 3381.0000000000
374 3382.0000000000
430 3632.0000000000
592 3756.0000000000
920 3816.0000000000
983 3817.0000000000
992 3834.0000000000
996 3886.0000000000
1110 3971.0000000000
1126 3996.0000000000
1415 4091.0000000000
1698 4202.0000000000
1803 4260.0000000000
2069 4278.0000000000
2241 4286.0000000000
2264 4351.0000000000
2443 4397.0000000000
2445 4398.0000000000
2574 4471.0000000000
2610 4531.0000000000
2962 4628.0000000000
