evaluations raw_y
1 -0.4775148650
3 -0.4737077040
6 -0.4618653348
12 -0.4562285765
13 -0.4544192040
18 -0.4488975158
22 -0.4282901360
30 -0.4242277054
53 -0.4178269084
64 -0.4126680593
69 -0.4089025173
78 -0.4078219745
87 -0.4070977288
88 -0.3998500880
99 -0.3992790513
104 -0.3980830106
106 -0.3980259478
139 -0.3906314771
174 -0.3894011869
176 -0.3827558617
206 -0.3781296669
219 -0.3781212818
224 -0.3732077124
225 -0.3646936899
242 -0.3641639472
246 -0.3640771077
251 -0.3580449856
312 -0.3569822550
316 -0.3538714658
371 -0.3501073728
383 -0.3486333783
388 -0.3468492456
440 -0.3444889155
514 -0.3440087955
571 -0.3432827998
575 -0.3384845389
589 -0.3367736434
597 -0.3345998584
603 -0.3328889629
609 -0.3310652550
632 -0.3272689777
658 -0.3266523955
688 -0.3256513551
716 -0.3211374675
1038 -0.3203964501
1558 -0.3189224556
6908 -0.3174071952
7679 -0.3155685103
8080 -0.3128741663
23536 -0.3093964380
90909 -0.3087675482
100000 -0.3087675482
evaluations raw_y
1 -0.5198362109
10 -0.5057860231
12 -0.5049776640
13 -0.4932745125
14 -0.4756544842
19 -0.4678069976
28 -0.4643590211
29 -0.4618963540
31 -0.4577645322
34 -0.4475654382
43 -0.4430878014
47 -0.4274670534
57 -0.4172370800
68 -0.4075166431
76 -0.3972321044
84 -0.3955212089
85 -0.3943768191
93 -0.3903581731
96 -0.3810338057
109 -0.3758754269
116 -0.3752218619
127 -0.3716909780
130 -0.3710374129
141 -0.3665799075
142 -0.3653393739
162 -0.3643546569
185 -0.3632889413
190 -0.3626353763
194 -0.3588242040
205 -0.3536011666
224 -0.3512370793
237 -0.3507889573
248 -0.3485345293
252 -0.3462750697
263 -0.3395325751
272 -0.3388790100
287 -0.3384750940
295 -0.3367855184
308 -0.3367771333
323 -0.3321112434
332 -0.3313489456
345 -0.3286566952
346 -0.3274642651
362 -0.3265427355
366 -0.3221050693
375 -0.3203336903
381 -0.3202340501
425 -0.3158688643
555 -0.3140659119
581 -0.3134960280
608 -0.3122429244
628 -0.3099634760
642 -0.3091616350
666 -0.3085450527
766 -0.3073147625
871 -0.3055433835
41237 -0.3049144938
79435 -0.3035884959
100000 -0.3073789278
evaluations raw_y
1 -0.5456547035
2 -0.5215731044
3 -0.5128033427
6 -0.4812529530
9 -0.4722068004
10 -0.4637743928
20 -0.4479699443
23 -0.4438182313
29 -0.4420693338
37 -0.4368016758
43 -0.4308605114
50 -0.4282509592
52 -0.4215100156
58 -0.4152550131
65 -0.4143516354
68 -0.4092094835
71 -0.4071464505
84 -0.4053462331
85 -0.3997935238
88 -0.3974331936
113 -0.3947790636
133 -0.3947706784
135 -0.3881337383
139 -0.3881253532
147 -0.3802140492
171 -0.3780089347
175 -0.3779915619
177 -0.3730988940
184 -0.3711780573
205 -0.3681937927
207 -0.3671249763
213 -0.3669391544
223 -0.3647393988
235 -0.3617879697
236 -0.3609738569
242 -0.3597333233
245 -0.3579619442
266 -0.3477442014
308 -0.3470240672
309 -0.3457861853
313 -0.3442646469
344 -0.3380498623
354 -0.3337583079
394 -0.3320474124
446 -0.3301245208
470 -0.3296847916
477 -0.3275980608
524 -0.3273465220
526 -0.3260939557
564 -0.3217287699
584 -0.3207277296
622 -0.3207193444
641 -0.3194126343
648 -0.3184199791
749 -0.3181684403
759 -0.3176089209
765 -0.3175518581
785 -0.3127176068
798 -0.3114568108
919 -0.3113304054
981 -0.3113220202
984 -0.3101001152
1003 -0.3098303269
1007 -0.3060107695
1056 -0.3055306495
1266 -0.3043003594
1273 -0.3042919742
1669 -0.3020868598
3798 -0.3005715995
4247 -0.2992456016
14663 -0.2974069167
100000 -0.2974069167
evaluations raw_y
1 -0.5334986183
2 -0.4950464426
7 -0.4866404386
9 -0.4852653615
11 -0.4729495463
13 -0.4626238033
16 -0.4404078922
27 -0.4347374390
31 -0.4247877526
35 -0.4103183675
43 -0.4046786427
50 -0.3972545781
54 -0.3953794098
60 -0.3936535537
66 -0.3892752426
87 -0.3858124840
92 -0.3841168639
111 -0.3823363302
112 -0.3806541052
121 -0.3783126498
132 -0.3762496168
142 -0.3747756223
153 -0.3731674145
158 -0.3689671343
160 -0.3674931398
183 -0.3656687281
204 -0.3616034632
219 -0.3578071859
280 -0.3552386978
289 -0.3547585778
290 -0.3493412171
324 -0.3476303216
355 -0.3438442779
367 -0.3399356134
407 -0.3384140750
422 -0.3371425667
476 -0.3362800557
514 -0.3260432632
526 -0.3257116892
567 -0.3252315692
615 -0.3228712390
719 -0.3213559787
746 -0.3203469669
1026 -0.3191166767
7372 -0.3155923846
11792 -0.3126441275
30654 -0.3102317920
30727 -0.3045337530
37430 -0.3010560247
54570 -0.3004271349
90789 -0.2991011370
100000 -0.3014614671
evaluations raw_y
1 -0.5045364996
5 -0.4972008452
6 -0.4910246848
14 -0.4826078352
18 -0.4758777652
25 -0.4611727679
32 -0.4545849712
